Operation_ID,Date_ID,Region_ID,Department_ID,Operational_Cost,Delay_Time,Efficiency_Score
69,20220204,1,12,8422,19,87
70,20231016,3,15,5132,19,84
71,20250822,6,8,5135,17,97
72,20210510,6,9,22868,16,73
73,20250704,3,10,12568,22,82
74,20240201,7,10,11262,22,68
75,20210606,2,8,24217,44,95
76,20210502,7,7,16563,31,90
77,20240124,6,15,24229,14,61
78,20230702,3,7,19398,11,95
79,20211225,5,2,8112,2,78
80,20211016,3,15,9433,34,86
81,20241019,3,9,14765,34,77
82,20231031,3,3,18299,14,74
83,20251219,1,1,15354,0,74
84,20220602,3,6,19428,22,90
85,20251216,2,5,23670,8,83
86,20220104,2,12,14827,24,64
87,20250413,1,4,7192,2,68
88,20220921,4,2,4782,7,74
89,20250716,4,10,7262,2,75
90,20230123,4,5,6667,6,63
91,20221130,7,2,11728,34,91
92,20211108,2,5,11345,20,89
93,20210221,7,15,18025,8,92
94,20220222,3,1,12270,32,81
95,20250506,5,13,6922,15,64
96,20210720,1,3,15144,27,92
97,20210802,7,7,19786,39,93
98,20250324,4,2,4722,15,98
99,20250311,5,6,19054,13,84
100,20240113,2,14,20688,9,82
101,20230811,7,5,18444,33,83
102,20220928,2,15,5813,29,96
103,20220603,5,8,5397,28,85
104,20240920,2,15,21014,41,76
105,20220124,6,11,20453,39,71
106,20210326,4,2,18648,22,88
107,20220312,3,15,18352,1,95
108,20210204,6,5,2643,19,95
109,20221116,1,9,5586,7,66
110,20250102,6,15,9237,45,99
111,20210717,6,4,12308,30,99
112,20220515,6,5,13277,5,95
113,20231127,5,5,2900,1,69
114,20251226,5,8,19900,35,96
115,20240422,4,5,3519,40,83
116,20230301,5,14,6485,6,90
117,20251018,4,12,12887,36,85
118,20250715,5,11,16264,41,98
119,20241027,6,14,10346,31,86
120,20220731,2,10,13917,25,65
121,20240216,4,1,6723,15,61
122,20240410,5,13,9631,29,87
123,20241110,7,3,24112,44,83
124,20210618,2,14,12430,25,81
125,20210529,7,15,24744,46,76
126,20240229,7,9,13121,46,84
127,20250830,3,13,5516,27,98
128,20250801,1,3,4007,1,97
129,20220710,4,8,15915,12,73
130,20220508,7,4,11765,9,60
131,20240613,1,7,20898,30,78
132,20210808,5,4,8278,37,70
133,20210306,6,9,18398,26,60
134,20210710,6,11,17102,2,86
135,20230824,1,1,6523,16,79
136,20211122,3,9,15847,22,86
137,20210313,4,8,5643,5,90
138,20250313,3,8,3635,6,81
139,20220819,7,8,18385,10,67
140,20210705,6,8,7224,24,87
141,20220815,1,11,20310,44,79
142,20240307,1,6,9134,7,74
143,20231120,7,6,7896,11,76
144,20220823,7,4,14393,11,84
145,20210924,2,13,4722,47,99
146,20250121,2,13,17459,4,86
147,20210623,2,7,18175,4,69
148,20241022,3,3,11588,7,97
149,20210311,4,7,15724,20,91
150,20230628,1,9,4091,36,72
151,20241231,1,5,23810,22,83
152,20230822,7,15,11039,30,82
153,20240703,5,15,12119,34,90
154,20220428,4,12,5728,26,68
155,20220520,5,15,14166,39,72
156,20250318,7,6,13015,38,81
157,20230409,1,14,12263,9,86
158,20240820,6,4,7075,5,61
159,20240625,1,6,13995,12,60
160,20220814,3,11,2850,11,88
161,20241020,5,10,14460,8,60
162,20220321,3,11,8557,5,61
163,20230509,3,6,10605,40,98
164,20250629,1,7,20123,23,90
165,20210918,4,5,2973,12,89
166,20220720,4,7,14304,21,90
167,20211108,2,2,20015,10,62
168,20210818,7,14,15993,10,96
169,20211004,3,9,11472,14,90
170,20230621,3,1,14591,35,83
171,20221223,1,13,5385,27,80
172,20240701,7,9,21466,33,72
173,20250613,3,11,7503,37,61
174,20250516,4,2,11467,41,72
175,20210913,3,3,12772,4,89
176,20220524,4,9,17346,32,60
177,20240914,6,15,7360,6,98
178,20220425,6,11,17205,16,75
179,20210215,4,9,24802,37,64
180,20210916,2,11,20012,22,91
181,20210629,1,5,2232,25,79
182,20250416,4,7,6019,18,90
183,20220318,4,2,23986,4,62
184,20250224,4,4,22188,39,89
185,20241124,1,11,7542,39,91
186,20210614,7,15,18821,37,88
187,20210106,5,6,17015,47,73
188,20240830,3,10,16806,5,89
189,20231210,4,1,16496,21,75
190,20220618,1,13,8720,13,71
191,20240806,4,7,23417,5,76
192,20220830,7,15,13126,43,85
193,20220602,4,13,5121,40,90
194,20211002,6,13,22893,12,89
195,20220830,6,5,2592,15,88
196,20230724,6,15,18422,14,60
197,20241026,7,7,14064,35,60
198,20210701,1,8,3896,37,66
199,20250125,7,1,2769,13,61
200,20230627,1,4,2824,15,71
201,20210731,5,8,6222,45,72
202,20211010,3,6,12132,21,96
203,20250619,7,10,3616,0,83
204,20211007,7,12,5285,46,99
205,20220331,3,6,9475,35,90
206,20251225,4,1,4584,32,72
207,20250728,1,7,23440,46,96
208,20230220,2,15,6663,3,61
209,20210716,6,9,13637,44,84
210,20230417,6,12,14947,21,84
211,20210318,1,5,5761,34,69
212,20221013,1,14,7256,13,69
213,20240904,1,3,5528,18,67
214,20210703,5,9,20682,26,82
215,20210114,6,11,3950,27,65
216,20251128,7,10,11952,44,86
217,20250116,6,10,17229,20,75
218,20210214,5,7,18388,2,66
219,20220803,3,10,14054,42,96
220,20240409,6,9,18235,25,67
221,20251005,6,11,8688,40,67
222,20250110,4,1,14397,7,86
223,20250119,7,10,13793,8,71
224,20250109,6,7,9428,47,75
225,20220624,3,1,24465,2,76
226,20210925,7,15,22085,0,92
227,20250925,3,15,12971,34,79
228,20220107,3,2,15497,7,68
229,20221018,5,4,18168,42,98
230,20240223,1,1,16755,21,84
231,20220415,7,10,4182,33,67
232,20250225,7,1,17811,5,66
233,20250606,7,15,5995,4,81
234,20210530,6,6,6159,47,86
235,20220613,3,6,6135,38,89
236,20220202,5,14,14329,17,69
237,20220330,4,2,19694,46,62
238,20251214,2,8,24824,34,70
239,20240926,4,2,16340,32,74
240,20210727,7,14,20471,36,65
241,20240826,2,9,18447,2,66
242,20241005,4,11,8228,41,98
243,20210723,1,5,3838,22,98
244,20240114,2,15,11610,45,83
245,20210621,4,12,7614,17,84
246,20241231,1,11,17146,26,99
247,20250817,2,7,14124,19,93
248,20220117,6,9,8553,29,98
249,20231228,7,5,19852,10,65
250,20221020,2,14,3016,44,76
251,20230413,6,3,18431,3,90
252,20240426,4,4,23443,35,91
253,20250807,3,4,4478,33,86
254,20221007,6,13,13478,21,89
255,20210809,6,9,20940,21,92
256,20250108,7,13,9728,6,82
257,20240512,6,11,23863,42,93
258,20240319,4,1,7135,16,67
259,20211211,2,6,15917,42,70
260,20250827,3,10,17513,46,91
261,20221226,1,15,19434,30,93
262,20250114,6,6,20749,2,95
263,20220329,5,15,6248,32,84
264,20230707,2,13,21987,15,76
265,20210908,7,1,16367,2,65
266,20220604,3,12,15059,21,97
267,20240301,1,8,20502,44,80
268,20250522,5,12,17846,25,71
269,20211217,4,10,21724,23,67
270,20220818,3,10,4522,20,91
271,20241104,7,7,9002,22,83
272,20230320,4,14,11550,42,67
273,20240613,2,13,2442,41,62
274,20250922,5,2,18122,41,69
275,20221002,5,13,23917,24,67
276,20210116,7,11,24140,25,72
277,20250602,6,11,20252,36,98
278,20220210,4,13,10053,11,92
279,20211120,4,14,8479,11,99
280,20230813,6,4,10013,41,74
281,20210612,7,9,6755,19,91
282,20240908,4,13,8756,40,99
283,20210106,6,8,2674,9,84
284,20250319,6,15,6312,30,87
285,20251121,7,14,3711,3,60
286,20240813,7,3,11520,45,88
287,20230331,5,1,10495,41,61
288,20250301,6,13,24099,18,63
289,20250527,6,8,21797,9,60
290,20250701,2,7,16358,20,61
291,20230923,3,1,12972,35,93
292,20220507,2,15,16269,29,68
293,20251113,6,2,23965,22,91
294,20211105,6,8,11009,34,82
295,20241207,1,14,9427,40,73
296,20210306,5,9,16693,43,65
297,20250801,1,3,2505,29,95
298,20250424,4,6,18424,24,71
299,20220902,1,14,20028,12,68
300,20221026,4,6,10198,14,92
301,20240402,6,5,9549,22,78
302,20210806,6,7,24120,0,74
303,20240913,7,11,20700,44,67
304,20250216,1,12,5120,37,82
305,20220202,5,12,13635,28,64
306,20220710,2,8,23543,23,79
307,20221107,1,9,15644,18,67
308,20220421,1,5,24535,41,66
309,20230808,5,14,2164,29,75
310,20230105,5,13,5695,29,91
311,20220101,2,13,15753,19,70
312,20230218,7,8,13829,18,68
313,20220922,6,10,2600,28,78
314,20210507,6,4,17879,13,82
315,20220121,4,9,18888,40,77
316,20210221,1,6,20317,40,74
317,20230622,3,15,22233,32,97
318,20231109,1,15,21866,7,75
319,20230830,4,12,15618,20,71
320,20240924,6,6,8866,10,63
321,20240703,7,9,23902,45,60
322,20240411,3,9,12612,12,82
323,20210530,5,14,20702,9,94
324,20221123,5,2,8858,15,71
325,20220714,4,7,15204,11,96
326,20241220,2,1,16920,30,81
327,20230306,6,14,11696,11,93
328,20221218,7,6,21035,27,99
329,20220803,2,15,6451,10,78
330,20240604,7,4,15164,10,91
331,20230408,7,7,8673,30,63
332,20230104,1,7,23220,12,76
333,20250314,2,11,19567,25,88
334,20241213,3,6,8651,22,71
335,20230728,4,4,9569,47,93
336,20241111,5,8,21002,18,70
337,20251216,3,10,5294,12,80
338,20210516,1,12,6597,41,68
339,20220428,6,12,12170,15,82
340,20241111,5,7,16346,9,89
341,20231103,5,7,4689,14,70
342,20230501,5,14,13276,21,97
343,20250121,2,10,4540,36,64
344,20220515,3,12,7460,22,62
345,20250301,4,10,19770,15,60
346,20230107,1,3,15645,11,62
347,20240404,2,12,4108,46,67
348,20240407,3,2,14409,5,63
349,20230526,7,1,23760,25,86
350,20230119,5,4,4255,27,63
351,20210124,4,1,6599,39,86
352,20231219,2,7,11635,44,64
353,20250515,2,7,20676,6,99
354,20210809,6,2,14772,34,64
355,20231021,2,9,10526,44,99
356,20250828,4,14,17080,43,67
357,20210527,7,12,19982,3,82
358,20230710,2,12,24457,5,80
359,20210925,6,15,14107,32,66
360,20240425,7,9,15645,44,87
361,20251013,3,14,14349,16,62
362,20211015,6,11,18099,42,97
363,20241014,4,3,15718,47,65
364,20250418,4,8,20163,38,98
365,20220821,3,3,3462,7,60
366,20220608,3,5,14286,24,98
367,20210123,7,15,6826,32,72
368,20210426,3,3,4133,11,72
369,20241227,7,3,21775,15,72
370,20240826,2,6,17143,47,84
371,20231017,4,6,3322,11,66
372,20210507,7,12,4696,43,63
373,20230909,6,9,12220,7,74
374,20230601,6,1,20274,30,71
375,20210306,6,6,21625,31,71
376,20251022,6,1,19702,10,81
377,20220309,4,4,11365,29,66
378,20211114,3,8,21608,27,70
379,20250822,4,14,16423,42,92
380,20211005,6,1,8960,23,85
381,20221220,7,10,13913,12,92
382,20231025,4,15,7502,27,77
383,20211207,2,5,22734,36,70
384,20230314,6,4,15138,35,89
385,20250512,7,13,12067,11,71
386,20250705,4,1,21761,10,65
387,20241223,4,5,10642,3,63
388,20230923,7,15,14019,2,70
389,20240716,7,4,20340,7,70
390,20210908,6,8,16897,2,81
391,20220726,3,7,23992,43,82
392,20220704,2,14,8777,12,85
393,20210322,3,4,23352,1,68
394,20210420,7,12,5603,45,92
395,20251207,3,15,19535,7,68
396,20240608,7,12,7865,38,90
397,20240406,1,8,9971,44,93
398,20231223,7,7,5425,20,95
399,20240920,4,7,12931,20,64
400,20220430,6,15,24137,46,75
401,20240908,2,5,5557,20,94
402,20211008,2,11,18971,45,82
403,20210817,1,15,3451,27,85
404,20210925,4,4,16074,34,68
405,20231028,4,7,21727,42,73
406,20210128,7,2,17483,7,70
407,20210331,5,14,21240,32,64
408,20220818,5,12,5346,0,95
409,20241122,7,4,19108,34,98
410,20220204,5,1,9149,18,83
411,20220822,3,5,24827,3,82
412,20220908,7,14,16318,17,74
413,20210122,7,15,17049,6,87
414,20220408,5,14,5902,33,67
415,20230326,2,14,8786,19,70
416,20230308,7,10,7862,16,67
417,20250828,2,9,6860,47,81
418,20240711,3,10,3215,11,90
419,20250711,1,5,19297,27,61
420,20250522,7,9,2454,25,68
421,20210520,7,5,4256,4,76
422,20220522,3,9,19022,12,70
423,20230502,7,1,19726,31,71
424,20230801,6,12,7323,10,81
425,20220118,6,12,15273,22,93
426,20241004,1,9,15783,17,77
427,20240409,3,5,21154,36,65
428,20250104,7,14,3290,28,73
429,20240628,7,9,20958,47,66
430,20220421,4,7,22022,14,89
431,20230109,3,5,21007,19,71
432,20220614,5,11,21335,7,70
433,20250421,3,5,3072,35,63
434,20221216,1,2,23428,7,86
435,20230926,6,6,9166,1,81
436,20230118,1,12,10669,46,69
437,20240920,1,11,24736,42,82
438,20240205,1,13,5309,8,78
439,20240416,3,15,20618,21,63
440,20230518,3,9,22085,14,86
441,20251101,4,6,4149,11,68
442,20210709,4,10,6770,37,88
443,20220630,6,5,19867,8,60
444,20251122,5,6,7335,0,88
445,20210416,4,14,7486,37,85
446,20240713,4,14,3409,20,60
447,20251130,7,5,8042,1,99
448,20220821,6,2,15916,22,88
449,20250710,1,7,15911,20,79
450,20241129,5,8,16448,4,92
451,20230107,7,14,9302,38,73
452,20211026,1,13,8880,10,76
453,20250706,5,15,6560,3,96
454,20220825,5,6,13963,45,97
455,20251016,2,15,22654,45,61
456,20250124,5,6,19074,0,60
457,20240615,4,11,12204,0,66
458,20221121,7,12,12837,32,82
459,20210426,2,5,11118,41,96
460,20250322,4,9,14779,24,63
461,20241118,1,2,11002,18,85
462,20220620,6,7,5827,9,84
463,20250624,1,3,13550,27,69
464,20210102,4,11,22147,16,93
465,20220406,3,2,11966,20,66
466,20211025,6,11,23658,2,85
467,20220306,1,14,24433,22,63
468,20240613,4,3,23863,32,63
469,20241223,5,1,5769,47,80
470,20250412,3,6,24577,47,99
471,20220315,1,13,9710,26,62
472,20250524,7,7,20555,47,75
473,20240725,3,10,21083,15,89
474,20240710,2,2,7597,13,81
475,20250221,2,4,23090,8,60
476,20230123,1,1,8254,35,94
477,20240212,3,12,15439,1,71
478,20230418,3,3,23660,1,63
479,20231003,5,12,14031,32,98
480,20250707,1,13,18013,33,87
481,20240908,6,1,22375,31,83
482,20221123,7,7,2780,4,86
483,20220716,2,7,3236,21,91
484,20251115,5,9,2518,14,88
485,20240922,6,3,12353,27,79
486,20230120,2,7,22113,41,62
487,20230523,3,11,20188,4,67
488,20250712,2,6,10658,41,95
489,20220725,1,13,8175,5,68
490,20250928,3,5,23920,9,62
491,20230323,4,6,8155,2,86
492,20221126,7,14,16382,11,84
493,20241116,5,9,18906,44,83
494,20211121,1,5,8525,20,71
495,20231205,1,5,3575,21,76
496,20220621,7,8,11732,5,82
497,20220703,7,8,24189,34,67
498,20250614,1,12,18091,5,73
499,20240528,1,4,11649,7,74
500,20210716,6,6,3571,46,74
501,20250714,1,9,24516,1,86
502,20241119,7,4,2612,42,80
503,20230221,3,5,7982,3,67
504,20230707,7,13,15462,42,63
505,20240820,5,14,24833,22,91
506,20221015,4,12,7171,38,76
507,20220413,4,13,19108,12,85
508,20230630,5,7,14986,11,80
509,20251203,1,7,15829,22,86
510,20230509,7,5,8493,4,61
511,20211208,5,4,3603,15,94
512,20221011,5,7,12555,39,93
513,20210703,6,1,23748,30,63
514,20251219,3,7,16176,7,99
515,20240702,1,15,23218,12,79
516,20241129,1,9,23523,42,88
517,20210721,4,13,19261,21,97
518,20250523,7,7,9435,46,77
519,20210819,2,14,3006,35,98
520,20231030,3,13,20147,21,70
521,20241229,3,2,12165,24,60
522,20230628,2,12,17825,8,74
523,20220409,5,14,24270,27,78
524,20231110,6,15,18645,34,80
525,20231028,7,13,20821,34,91
526,20220506,5,13,12292,29,76
527,20230929,5,12,14112,33,98
528,20210925,2,8,15400,4,67
529,20210121,3,15,5909,12,95
530,20220729,3,15,10223,22,89
531,20230812,7,15,21252,27,98
532,20251017,2,1,8650,42,63
533,20220818,5,5,12495,36,85
534,20221107,7,11,15433,39,81
535,20230622,3,5,2548,0,63
536,20240501,4,15,14020,26,63
537,20240901,1,5,9973,37,60
538,20250729,4,14,14098,32,64
539,20240422,6,5,18532,0,87
540,20231117,4,8,6408,26,95
541,20240410,1,15,3010,11,92
542,20210417,6,7,8761,46,70
543,20230329,7,4,15423,44,63
544,20211219,5,7,10430,4,99
545,20220404,3,9,14286,1,83
546,20231123,3,5,23595,46,67
547,20251209,1,10,9856,29,68
548,20210410,6,10,12756,40,82
549,20221216,6,9,18842,31,79
550,20230717,2,6,22911,21,61
551,20221113,7,1,2359,37,71
552,20210107,6,15,10738,43,63
553,20230611,1,9,15815,29,76
554,20210130,1,2,23191,45,94
555,20210510,4,9,10722,17,80
556,20251030,5,6,8173,37,63
557,20241218,6,7,17923,27,73
558,20240501,2,12,23772,43,78
559,20230520,6,12,16569,11,78
560,20210426,6,1,14431,18,87
561,20211021,4,3,17219,4,77
562,20221213,6,6,15537,39,94
563,20210330,6,6,17381,16,73
564,20220123,6,9,23741,33,90
565,20250823,2,6,8290,47,94
566,20230219,7,5,17824,11,66
567,20241019,2,14,22840,7,87
568,20250917,5,11,6663,32,72
569,20230727,3,13,3883,31,91
570,20210823,5,4,9857,11,69
571,20220517,1,15,3747,35,90
572,20210221,2,15,4254,14,96
573,20210112,5,7,9535,43,75
574,20240221,2,13,22926,39,64
575,20241028,4,14,5663,18,61
576,20250921,3,12,20921,16,70
577,20240612,5,3,18522,17,85
578,20211228,6,6,2406,15,84
579,20250505,7,12,22188,17,97
580,20230207,4,14,23403,44,69
581,20240202,5,15,3277,12,85
582,20251019,6,13,20461,0,96
583,20240623,3,12,18036,35,74
584,20230301,3,1,14290,29,67
585,20240420,5,12,5334,3,84
586,20250331,3,11,22388,38,87
587,20211017,5,10,10448,36,73
588,20221022,1,7,3363,18,82
589,20210211,2,7,24192,11,96
590,20251202,2,10,5937,18,82
591,20240406,3,13,20930,11,60
592,20250215,7,3,22674,2,62
593,20250902,4,3,7663,27,87
594,20240129,2,15,11638,43,86
595,20250308,4,8,8522,9,98
596,20230503,6,14,12678,9,87
597,20231203,3,3,10061,1,98
598,20250923,2,10,21010,5,92
599,20240524,7,7,17080,29,79
600,20210223,7,13,18302,1,97
601,20241229,3,3,21435,40,80
602,20240709,3,8,17744,33,61
603,20210927,5,11,2157,27,69
604,20250219,1,3,7714,23,88
605,20220415,2,1,21486,29,72
606,20220719,3,11,7418,24,96
607,20210626,5,15,6635,6,93
608,20221214,3,1,20778,9,66
609,20221218,3,3,23096,23,84
610,20210506,2,5,9555,42,80
611,20240107,3,11,9263,1,64
612,20241128,3,2,5400,40,65
613,20251029,6,15,16997,24,70
614,20230403,5,5,17801,3,99
615,20210502,5,3,5755,41,98
616,20211212,2,9,2798,47,74
617,20250926,3,3,20323,18,78
618,20240619,5,12,14569,39,94
619,20250109,1,11,16925,12,60
620,20251130,6,6,23884,42,81
621,20220416,5,12,21571,4,97
622,20250511,1,12,14105,8,81
623,20211110,5,1,14559,35,94
624,20250524,7,4,8774,19,79
625,20230922,5,3,20506,23,95
626,20251126,7,11,23124,8,77
627,20250124,4,14,22369,42,96
628,20211022,1,1,24631,10,82
629,20250306,6,14,7333,36,97
630,20240910,6,4,7920,8,70
631,20220414,3,11,15416,2,92
632,20240125,6,8,23994,26,66
633,20221105,7,5,17564,8,89
634,20241028,4,13,4207,26,65
635,20240728,4,9,10043,9,90
636,20210904,1,7,19100,35,71
637,20250915,6,5,2695,46,97
638,20221106,1,1,20118,40,60
639,20211028,4,4,20597,35,75
640,20230729,4,9,11954,18,65
641,20250124,1,12,3744,43,76
642,20241123,3,14,22181,3,81
643,20240918,6,8,14248,4,67
644,20221008,1,3,10353,44,95
645,20250714,3,10,19582,28,61
646,20251125,3,7,7347,42,75
647,20250617,4,4,17017,17,91
648,20230202,3,9,16067,19,79
649,20221016,5,6,5464,24,92
650,20240118,5,11,8133,14,64
651,20230724,6,2,14798,15,86
652,20240222,6,9,14196,14,72
653,20240303,2,4,11025,10,97
654,20210614,1,3,24434,25,67
655,20220414,7,3,22506,45,76
656,20211113,1,5,9606,25,94
657,20231112,4,6,11008,47,94
658,20240702,6,11,5153,38,88
659,20220721,4,3,5365,44,93
660,20250904,7,14,5551,20,81
661,20250426,7,5,12785,2,70
662,20220507,7,7,18942,44,81
663,20210922,7,4,18934,13,67
664,20241029,4,4,3768,43,62
665,20230207,6,7,12943,39,64
666,20240327,3,1,5655,41,73
667,20210707,1,11,22097,33,93
668,20250715,2,5,16405,28,78
669,20221102,5,10,2141,29,76
670,20240803,2,1,4005,13,96
671,20240111,3,4,10827,44,76
672,20210421,4,7,13408,39,84
673,20231014,7,10,15530,30,64
674,20211020,3,7,8389,46,83
675,20251126,1,10,11415,35,99
676,20240516,6,15,10793,27,61
677,20210331,5,12,13412,12,64
678,20250404,2,4,14462,6,83
679,20230226,4,11,7111,6,92
680,20210202,1,9,2776,34,90
681,20251216,3,7,12785,41,62
682,20250215,1,1,17934,17,66
683,20210605,1,14,14936,27,73
684,20240118,4,12,9446,1,81
685,20230129,7,15,21208,24,84
686,20231215,4,13,8707,32,92
687,20230629,3,15,15355,10,67
688,20230319,4,13,14535,20,64
689,20250225,3,15,10986,14,85
690,20221124,5,8,16584,19,76
691,20251128,7,11,19151,34,85
692,20240223,4,8,9966,29,66
693,20241219,6,8,17445,20,78
694,20230301,6,15,24460,19,92
695,20230111,3,7,10788,36,78
696,20220404,7,9,10626,2,75
697,20211023,5,6,8838,3,80
698,20221125,3,13,21723,13,75
699,20221002,7,1,4319,32,71
700,20240718,6,1,4889,3,75
701,20240531,7,14,24194,37,62
702,20230625,7,12,15664,43,85
703,20251205,3,10,23081,45,86
704,20211216,5,11,15053,3,63
705,20210329,4,13,11060,26,90
706,20241020,1,4,7799,10,80
707,20220619,6,9,10705,9,93
708,20210321,3,15,10075,31,82
709,20230725,5,11,15122,17,97
710,20231206,5,10,22370,14,91
711,20230624,5,7,14986,40,60
712,20210306,5,4,11215,22,67
713,20230709,3,10,18437,18,74
714,20240617,3,15,15349,36,85
715,20251104,4,10,3652,41,98
716,20211117,6,5,13084,17,76
717,20250317,7,3,10942,43,84
718,20220201,3,9,4190,28,98
719,20241029,7,7,4349,36,83
720,20250319,6,6,5415,38,92
721,20220603,7,2,13985,6,74
722,20240318,4,12,24573,47,69
723,20240202,3,5,10440,12,93
724,20220907,5,15,9528,44,64
725,20241207,3,15,15162,29,60
726,20211012,1,15,15478,8,75
727,20250227,1,10,21730,38,78
728,20250514,7,8,21986,47,84
729,20250826,3,2,21167,13,70
730,20230625,1,6,13564,41,73
731,20210326,3,14,17466,25,79
732,20240920,6,8,5804,34,89
733,20210123,7,5,20431,44,85
734,20230622,3,13,10458,44,79
735,20211219,1,8,18682,10,98
736,20230913,7,14,10441,5,82
737,20221223,2,2,16305,24,81
738,20240526,2,8,16218,37,81
739,20250920,1,3,15094,14,83
740,20241105,2,5,5808,3,66
741,20210911,4,14,24497,5,74
742,20220329,6,12,5094,5,99
743,20210212,2,5,9501,17,71
744,20210906,4,6,8345,14,79
745,20250401,7,8,17845,11,69
746,20250101,5,4,19012,46,84
747,20231116,2,4,16205,39,98
748,20241029,7,1,21883,47,99
749,20211208,1,1,20778,43,75
750,20241207,2,7,13869,37,74
751,20211031,7,12,2975,15,65
752,20210810,3,1,15341,29,62
753,20221221,7,1,9491,11,68
754,20250426,4,15,23920,11,92
755,20210125,5,10,8563,6,72
756,20251225,7,14,9188,41,76
757,20210629,7,13,7624,47,78
758,20210130,5,13,19920,31,60
759,20220905,7,7,13537,3,95
760,20220523,6,13,15592,46,80
761,20240202,4,14,9776,10,69
762,20250511,3,9,23615,35,62
763,20220330,1,4,15732,26,60
764,20230522,1,9,20767,4,93
765,20251211,1,10,9536,4,95
766,20210604,2,6,16282,20,64
767,20240219,1,6,12559,3,65
768,20220106,5,3,21142,37,91
769,20230803,1,7,14063,8,77
770,20240315,6,6,4482,23,65
771,20220925,1,10,16420,45,86
772,20231207,7,6,21430,2,92
773,20221202,3,6,23736,38,62
774,20210307,6,10,15418,0,79
775,20250508,2,3,7459,47,99
776,20220701,3,3,5138,16,73
777,20230328,4,7,4658,17,79
778,20240508,3,5,4987,15,89
779,20240416,7,4,2458,35,97
780,20240204,7,11,18448,0,70
781,20250225,5,7,4542,34,69
782,20241118,2,2,7237,40,71
783,20211203,2,9,15175,4,65
784,20220204,2,13,6637,46,84
785,20231126,7,5,6312,32,66
786,20220504,2,14,16922,4,63
787,20240329,4,3,17744,45,63
788,20210903,1,7,24738,35,66
789,20210426,5,11,14186,41,70
790,20211111,2,5,22965,42,88
791,20220207,6,13,11411,45,62
792,20220509,6,10,22923,32,98
793,20240619,1,7,23616,27,70
794,20240225,3,8,3587,22,65
795,20251228,4,15,5420,41,93
796,20220714,5,4,24166,20,94
797,20230401,7,15,4741,15,93
798,20221002,3,4,13484,17,72
799,20240415,4,5,22001,37,81
800,20220404,6,8,18873,26,76
801,20211119,4,7,6056,12,64
802,20210223,1,8,7076,25,73
803,20251220,3,7,20123,7,92
804,20221024,4,13,21260,14,82
805,20250111,5,10,19919,4,95
806,20210425,3,10,23658,25,71
807,20240707,2,14,17333,15,92
808,20251003,2,15,12881,39,72
809,20250509,5,9,23730,19,78
810,20231024,4,3,17398,45,99
811,20220519,1,13,21646,19,93
812,20220602,2,7,21304,11,70
813,20230110,6,7,5740,47,70
814,20250731,2,10,24579,22,91
815,20210115,1,4,20506,46,84
816,20250806,7,14,21680,0,78
817,20220420,2,9,24981,3,68
