Transaction_ID,Date_ID,Department_ID,Revenue,Cost,Profit
77,20220814,2,41768,3725,38043
78,20220506,5,41495,29053,12442
79,20210701,3,40303,27275,13028
80,20230402,12,6360,9614,-3254
81,20221017,14,6834,21150,-14316
82,20240905,3,12990,28815,-15825
83,20230317,5,11026,7448,3578
84,20240414,11,49315,8031,41284
85,20240804,10,44927,5414,39513
86,20230814,4,44106,5985,38121
87,20240712,14,35133,4555,30578
88,20240528,10,31044,11532,19512
89,20220329,3,40259,6480,33779
90,20250406,1,42278,23206,19072
91,20211216,3,29619,15292,14327
92,20220704,7,25318,7692,17626
93,20240518,11,8913,15166,-6253
94,20220509,8,46888,27439,19449
95,20240928,12,8437,2088,6349
96,20240806,3,36321,28060,8261
97,20211104,3,16020,4469,11551
98,20250522,12,47171,18204,28967
99,20251115,5,28551,5803,22748
100,20250923,7,46596,20590,26006
101,20240511,10,14655,8889,5766
102,20210219,6,21725,27594,-5869
103,20210130,14,49984,4097,45887
104,20240306,5,21016,28638,-7622
105,20240508,12,24520,13521,10999
106,20230826,8,42897,7810,35087
107,20220202,6,35751,16125,19626
108,20240908,15,47571,3323,44248
109,20210203,9,34562,27025,7537
110,20240422,6,42792,18892,23900
111,20230429,4,42944,6260,36684
112,20220813,5,15666,26369,-10703
113,20230503,10,31484,10210,21274
114,20210216,4,46045,11106,34939
115,20230913,6,5658,26606,-20948
116,20211118,3,47603,6691,40912
117,20211009,11,29551,8266,21285
118,20250909,3,46720,14056,32664
119,20250509,3,42095,28820,13275
120,20210707,4,23901,14286,9615
121,20250505,11,40507,5821,34686
122,20250612,7,20377,5027,15350
123,20250906,8,46215,7327,38888
124,20230807,6,49177,21386,27791
125,20240121,9,40942,22749,18193
126,20220727,7,38154,27294,10860
127,20231104,12,43895,16252,27643
128,20220902,4,47937,21743,26194
129,20251229,5,38340,5285,33055
130,20211110,12,10394,28199,-17805
131,20230620,4,32306,10895,21411
132,20210526,12,34115,23755,10360
133,20210821,3,38578,4916,33662
134,20240206,6,25805,25169,636
135,20221207,3,38416,3501,34915
136,20240114,6,36830,8600,28230
137,20240223,3,45929,19153,26776
138,20250620,6,44262,25211,19051
139,20230207,2,17582,29342,-11760
140,20220128,13,37175,24049,13126
141,20231108,14,23692,19582,4110
142,20210806,9,47460,24987,22473
143,20250710,5,45373,2278,43095
144,20210410,10,28698,11824,16874
145,20220331,13,15007,10562,4445
146,20250508,2,28654,23295,5359
147,20211123,5,10431,6540,3891
148,20230309,7,47520,5752,41768
149,20240109,11,8786,5521,3265
150,20211129,11,24602,7223,17379
151,20220117,3,12831,25035,-12204
152,20230205,4,7800,14229,-6429
153,20240703,6,38599,15389,23210
154,20220327,6,10020,25017,-14997
155,20220115,13,29846,9494,20352
156,20230630,12,46623,21384,25239
157,20240208,8,23401,9228,14173
158,20220920,11,35132,11215,23917
159,20211003,8,9371,16363,-6992
160,20221016,6,47559,21410,26149
161,20221104,9,29821,28768,1053
162,20210109,14,43532,4027,39505
163,20210213,6,35333,20627,14706
164,20250430,13,43514,12513,31001
165,20211101,7,42222,26446,15776
166,20220420,10,13977,16427,-2450
167,20250326,5,23183,23897,-714
168,20251221,2,9797,24203,-14406
169,20231031,1,49842,6110,43732
170,20250521,1,11745,11371,374
171,20230509,11,28550,23078,5472
172,20241021,1,38453,2531,35922
173,20221014,15,12993,12907,86
174,20250829,6,37787,2592,35195
175,20230624,1,25863,6867,18996
176,20251218,10,11824,6460,5364
177,20210613,3,44744,15364,29380
178,20221219,7,22907,25230,-2323
179,20220416,7,13977,24386,-10409
180,20230602,8,13954,25282,-11328
181,20210211,3,9874,10243,-369
182,20220419,10,23709,18546,5163
183,20210622,6,9682,28850,-19168
184,20250416,5,29401,19002,10399
185,20230502,15,10623,27901,-17278
186,20220506,14,9989,7271,2718
187,20230428,2,49910,7794,42116
188,20210427,5,46449,12616,33833
189,20250720,2,46688,26455,20233
190,20210805,4,24650,13835,10815
191,20230520,2,13573,10789,2784
192,20250515,8,33280,10267,23013
193,20221024,11,14678,24912,-10234
194,20210312,9,19442,15199,4243
195,20250914,7,27935,5609,22326
196,20250115,6,23129,28134,-5005
197,20240906,12,46048,16610,29438
198,20210819,3,15762,5492,10270
199,20250926,15,20042,12426,7616
200,20230505,4,30531,27884,2647
201,20220622,6,24600,11639,12961
202,20220626,1,49824,7429,42395
203,20250122,3,31331,27880,3451
204,20220404,15,14443,4474,9969
205,20230929,6,8260,3790,4470
206,20250917,11,38043,3555,34488
207,20240229,5,20352,8667,11685
208,20250102,11,24684,19175,5509
209,20240920,1,18167,18931,-764
210,20220507,14,29586,26261,3325
211,20230525,15,42031,17098,24933
212,20220520,3,48604,26703,21901
213,20250330,7,36671,6555,30116
214,20210912,3,44389,23766,20623
215,20250616,11,22113,15704,6409
216,20220520,14,30931,11516,19415
217,20210317,11,45334,11705,33629
218,20251217,14,9360,15538,-6178
219,20250428,7,46727,12949,33778
220,20230322,4,9829,29117,-19288
221,20241114,11,32929,2043,30886
222,20251219,1,48463,10302,38161
223,20210208,10,47659,15621,32038
224,20240222,12,5146,12375,-7229
225,20250523,14,27841,12030,15811
226,20230712,10,6611,9979,-3368
227,20250212,14,12711,22336,-9625
228,20250302,10,34120,7440,26680
229,20231119,1,29016,22183,6833
230,20240103,12,28349,6135,22214
231,20210320,2,12277,2118,10159
232,20210706,11,37538,9954,27584
233,20230710,8,8821,3540,5281
234,20240706,13,44358,18648,25710
235,20250627,3,30134,26217,3917
236,20230606,11,23724,27747,-4023
237,20210927,10,11091,11703,-612
238,20231117,15,36673,4761,31912
239,20210522,11,41160,12612,28548
240,20240425,6,30597,7764,22833
241,20230706,14,19601,15970,3631
242,20240328,11,25549,4924,20625
243,20250630,14,38709,22406,16303
244,20240615,5,11882,15427,-3545
245,20210519,14,43843,24262,19581
246,20241107,15,42844,14087,28757
247,20221025,15,40000,15138,24862
248,20220622,15,39504,9463,30041
249,20250414,8,27651,11042,16609
250,20251029,3,48258,16788,31470
251,20240116,12,33163,27643,5520
252,20210730,13,7632,20345,-12713
253,20210725,1,34690,2025,32665
254,20210330,1,18044,2107,15937
255,20250615,8,24769,3119,21650
256,20241213,12,28419,26030,2389
257,20231011,1,14899,7677,7222
258,20211125,4,46885,21060,25825
259,20230731,10,46032,17454,28578
260,20250703,11,42936,14553,28383
261,20251214,10,13198,4725,8473
262,20211120,7,28691,13047,15644
263,20240223,9,48784,13387,35397
264,20251106,4,39267,20849,18418
265,20210126,11,35171,24620,10551
266,20221201,12,48406,6743,41663
267,20230601,15,43723,21209,22514
268,20210511,12,18482,28501,-10019
269,20251015,5,21419,4910,16509
270,20240928,15,21069,11054,10015
271,20221008,9,31348,29446,1902
272,20250912,8,6867,7478,-611
273,20220923,14,38596,5069,33527
274,20230829,4,38767,29714,9053
275,20250218,6,37650,10928,26722
276,20211107,5,13457,17339,-3882
277,20250912,1,11011,25148,-14137
278,20210619,11,16829,4066,12763
279,20210108,14,30276,26368,3908
280,20220514,8,19945,29435,-9490
281,20241021,10,16589,29173,-12584
282,20240117,2,28126,25850,2276
283,20250129,13,30075,19931,10144
284,20241130,3,5640,15763,-10123
285,20210515,11,30822,24856,5966
286,20230514,5,5249,5225,24
287,20231207,15,44253,22238,22015
288,20220418,11,46808,24077,22731
289,20210427,3,40515,17587,22928
290,20250130,9,21513,6492,15021
291,20250624,2,48459,5714,42745
292,20210606,15,36100,8825,27275
293,20220306,12,11017,22602,-11585
294,20250903,12,21701,20628,1073
295,20241129,1,35178,6114,29064
296,20220710,8,24933,12009,12924
297,20211201,1,35322,29870,5452
298,20241016,9,37461,12327,25134
299,20230725,15,17453,2250,15203
300,20250106,6,8892,8225,667
301,20240530,9,6419,14485,-8066
302,20250224,6,30633,25170,5463
303,20250505,2,6113,12974,-6861
304,20251115,15,8170,12099,-3929
305,20230713,12,43709,23883,19826
306,20210724,9,8987,23006,-14019
307,20220410,7,47255,29043,18212
308,20210505,10,23180,28372,-5192
309,20240702,2,30635,18900,11735
310,20210924,12,9697,21308,-11611
311,20211119,12,34674,11610,23064
312,20231121,14,31785,18926,12859
313,20210416,6,36224,27914,8310
314,20230204,3,19242,14590,4652
315,20230808,5,32036,16212,15824
316,20220622,7,35241,13919,21322
317,20250213,5,22447,22786,-339
318,20230811,15,43411,13083,30328
319,20250212,10,31325,2774,28551
320,20230421,2,26932,21557,5375
321,20230209,12,12402,7625,4777
322,20210726,9,15463,8794,6669
323,20210312,4,29801,15215,14586
324,20230305,10,31807,21865,9942
325,20241222,9,27283,28897,-1614
326,20221008,1,8947,2163,6784
327,20220120,1,24134,21298,2836
328,20220817,12,24552,9570,14982
329,20230704,2,30193,21139,9054
330,20250821,3,31166,26178,4988
331,20231009,1,44783,21390,23393
332,20241127,4,49804,5553,44251
333,20240811,1,49824,24140,25684
334,20241001,6,23788,7074,16714
335,20250906,14,48449,6337,42112
336,20220918,1,47450,15992,31458
337,20220916,13,7270,10993,-3723
338,20210107,14,18489,7409,11080
339,20220224,15,20492,18311,2181
340,20240330,15,38926,13015,25911
341,20231009,1,6596,7551,-955
342,20240331,15,19567,15593,3974
343,20220117,1,30953,21476,9477
344,20211204,7,46400,23097,23303
345,20230514,15,20449,14462,5987
346,20210112,13,47595,18082,29513
347,20240207,14,12635,16447,-3812
348,20230311,14,46230,12913,33317
349,20221122,2,15783,18911,-3128
350,20230817,3,36294,2851,33443
351,20221014,2,10950,15213,-4263
352,20250612,2,30201,21250,8951
353,20220701,12,5327,6079,-752
354,20250925,11,31429,18823,12606
355,20220102,7,26507,5285,21222
356,20241005,5,26526,20041,6485
357,20240713,3,21440,11115,10325
358,20240225,11,37340,25541,11799
359,20240408,1,44972,2604,42368
360,20221221,12,26442,22953,3489
361,20210930,14,17933,14555,3378
362,20230102,11,14539,25154,-10615
363,20210725,3,47404,22480,24924
364,20221211,15,15290,23114,-7824
365,20230921,6,45758,8233,37525
366,20240519,15,11583,20887,-9304
367,20250504,12,25818,21360,4458
368,20241026,3,20082,21643,-1561
369,20220820,2,37117,13614,23503
370,20210207,4,37208,15961,21247
371,20241002,13,35261,17118,18143
372,20220619,14,43912,3753,40159
373,20240504,9,26738,21736,5002
374,20211224,5,24877,9571,15306
375,20221208,8,20395,12342,8053
376,20230921,11,41598,10472,31126
377,20250827,6,47922,8831,39091
378,20230206,5,26054,2102,23952
379,20241127,9,26376,9353,17023
380,20210902,15,26840,19173,7667
381,20211019,14,9007,5046,3961
382,20220114,7,40993,19077,21916
383,20210104,10,44636,3099,41537
384,20230403,13,32203,3396,28807
385,20231031,12,8702,6433,2269
386,20210320,2,11754,7026,4728
387,20220219,4,37172,19831,17341
388,20211007,8,9101,19807,-10706
389,20241010,10,42892,17391,25501
390,20240930,7,47987,26491,21496
391,20230928,8,9563,21197,-11634
392,20240329,8,17369,24006,-6637
393,20250528,11,43536,13535,30001
394,20250528,15,20835,13652,7183
395,20221127,6,31549,26211,5338
396,20230404,6,23648,28140,-4492
397,20230422,9,14852,16209,-1357
398,20241209,14,30024,18174,11850
399,20251011,6,31783,28497,3286
400,20241123,13,32260,28261,3999
401,20220116,14,25337,25904,-567
402,20230527,12,49046,5924,43122
403,20210427,1,28182,29998,-1816
404,20220808,14,37826,23128,14698
405,20250101,5,40205,21447,18758
406,20230309,8,42959,27280,15679
407,20210501,14,20604,26914,-6310
408,20250415,10,30182,29292,890
409,20211026,13,47826,21890,25936
410,20250511,8,18565,29710,-11145
411,20231212,14,13922,21989,-8067
412,20221006,13,33370,16156,17214
413,20230705,9,7066,29258,-22192
414,20210114,8,5075,12823,-7748
415,20230128,15,5686,4391,1295
416,20230317,13,38226,4456,33770
417,20250211,9,15849,27130,-11281
418,20230118,7,44203,28965,15238
419,20250510,12,48203,4867,43336
420,20210801,10,19926,16123,3803
421,20230107,9,7691,6046,1645
422,20240414,12,38842,5671,33171
423,20240327,12,40528,22361,18167
424,20220802,14,6953,19126,-12173
425,20221227,8,8032,3588,4444
426,20210116,10,48037,21167,26870
427,20240122,14,30121,24803,5318
428,20240506,14,24358,23929,429
429,20220531,13,14021,8888,5133
430,20230128,2,27611,6811,20800
431,20210801,13,44758,22984,21774
432,20231204,8,8561,17246,-8685
433,20220722,1,27478,18617,8861
434,20250917,14,7718,27580,-19862
435,20210630,10,37758,8101,29657
436,20220223,9,6815,24899,-18084
437,20220315,14,22031,23494,-1463
438,20220225,7,47922,19685,28237
439,20210202,14,26866,20408,6458
440,20240315,1,5380,11388,-6008
441,20230727,1,36025,29457,6568
442,20240919,13,33057,28672,4385
443,20240424,1,31385,6904,24481
444,20250404,5,43473,5015,38458
445,20230505,11,47285,2243,45042
446,20210114,15,23453,20636,2817
447,20210813,15,15430,14542,888
448,20250821,8,19846,28882,-9036
449,20250307,14,45261,28112,17149
450,20210704,13,26533,18963,7570
451,20210114,7,42131,2177,39954
452,20210724,9,27676,15275,12401
453,20210802,1,49588,21704,27884
454,20221026,13,45895,14747,31148
455,20220725,9,46843,27088,19755
456,20240112,11,37399,22883,14516
457,20230514,10,30128,8002,22126
458,20230414,5,44423,9766,34657
459,20230126,9,11881,7501,4380
460,20230428,13,26812,10289,16523
461,20240322,14,16777,28391,-11614
462,20250912,11,47630,20645,26985
463,20211124,5,48270,22513,25757
464,20230618,7,7676,16328,-8652
465,20250214,9,30682,11996,18686
466,20210125,5,8680,16991,-8311
467,20220120,5,25484,24524,960
468,20211128,4,28589,11067,17522
469,20220214,14,22781,12864,9917
470,20240512,4,34722,29117,5605
471,20210227,8,23280,17035,6245
472,20240122,10,25924,25380,544
473,20210727,9,41273,10607,30666
474,20230321,9,13497,23795,-10298
475,20250123,10,27510,26893,617
476,20240311,5,27385,18797,8588
477,20210619,12,16037,7382,8655
478,20250426,9,11143,28237,-17094
479,20230614,6,29980,8175,21805
480,20250819,3,36692,18624,18068
481,20240611,7,7403,5719,1684
482,20221019,10,22861,4802,18059
483,20210203,3,24714,28086,-3372
484,20221215,11,31017,7929,23088
485,20251028,2,38145,25922,12223
486,20230824,10,5523,10092,-4569
487,20230110,13,37593,22168,15425
488,20211021,9,43634,21599,22035
489,20210808,5,25709,3932,21777
490,20240502,10,14158,13396,762
491,20240906,14,35657,6802,28855
492,20250312,9,18278,22981,-4703
493,20210402,1,11396,13571,-2175
494,20230219,11,47226,19843,27383
495,20230618,6,25762,6007,19755
496,20250107,10,9686,8673,1013
497,20240815,7,48171,2436,45735
498,20220509,9,7482,23467,-15985
499,20231205,1,45860,7955,37905
500,20210328,14,44118,7904,36214
501,20230214,9,29606,12754,16852
502,20220720,11,11256,29164,-17908
503,20210717,15,12556,20806,-8250
504,20210927,8,48178,22648,25530
505,20221213,10,48901,23340,25561
506,20210203,1,41968,21653,20315
507,20240121,14,25387,18905,6482
508,20250105,4,47681,21616,26065
509,20210720,7,40113,17609,22504
510,20250309,1,16827,6434,10393
511,20220522,11,43620,19009,24611
512,20220607,7,22870,15888,6982
513,20240504,7,46688,5284,41404
514,20210216,13,45914,13122,32792
515,20251019,4,46916,11763,35153
516,20210707,12,19942,20358,-416
517,20240214,6,7990,4983,3007
518,20250227,13,11504,18524,-7020
519,20220608,1,36635,24875,11760
520,20250118,14,27743,23610,4133
521,20251016,4,34314,13994,20320
522,20251018,15,26589,27719,-1130
523,20250407,6,49265,2963,46302
524,20220706,8,7112,7912,-800
525,20210817,3,45921,9615,36306
526,20251027,5,18218,25667,-7449
527,20240624,14,16499,26009,-9510
528,20231015,10,32892,14004,18888
529,20220523,7,20989,27813,-6824
530,20240324,6,49534,12216,37318
531,20230801,12,41442,22274,19168
532,20230909,4,31475,11734,19741
533,20210801,8,7212,23986,-16774
534,20230123,1,48299,4558,43741
535,20250628,12,31320,19319,12001
536,20211009,15,40295,28923,11372
537,20240829,14,26841,7782,19059
538,20210721,3,32967,15661,17306
539,20230221,3,48335,28154,20181
540,20240531,13,34312,28807,5505
541,20211006,13,40065,23561,16504
542,20220928,10,45892,11952,33940
543,20240705,9,49954,29947,20007
544,20241025,3,24221,16690,7531
545,20210531,13,37179,16530,20649
546,20240922,11,17200,22301,-5101
547,20230619,3,14565,11758,2807
548,20251222,5,45090,24003,21087
549,20250706,10,37718,6583,31135
550,20230504,6,44017,12552,31465
551,20250220,5,10826,18886,-8060
552,20220508,11,26843,6290,20553
553,20211024,4,47775,19641,28134
554,20231118,5,16155,24403,-8248
555,20230912,4,21887,17210,4677
556,20250703,3,27342,2597,24745
557,20221102,4,30385,19681,10704
558,20230114,1,9890,5751,4139
559,20220521,6,25600,24345,1255
560,20240430,3,14630,17633,-3003
561,20210614,5,10280,15101,-4821
562,20240814,12,26106,21584,4522
563,20221025,14,29127,10397,18730
564,20250317,13,26598,3908,22690
565,20210828,6,28660,8816,19844
566,20250918,7,33293,9893,23400
567,20220105,13,16841,2726,14115
568,20240107,12,31788,28407,3381
569,20240217,10,36720,16576,20144
570,20221204,13,10032,26154,-16122
571,20220817,7,20413,2366,18047
572,20231229,10,19256,11506,7750
573,20240713,4,47629,16862,30767
574,20230620,14,38835,14043,24792
575,20250303,13,24198,19433,4765
576,20220309,2,39246,18076,21170
577,20240614,10,32540,4369,28171
578,20250122,10,9552,19598,-10046
579,20240330,5,13870,16915,-3045
580,20210306,14,32710,25447,7263
581,20220608,9,45348,28806,16542
582,20250228,2,38866,22982,15884
583,20210123,11,23903,5884,18019
584,20240807,7,7297,17974,-10677
585,20230426,12,32656,13309,19347
586,20250409,4,37525,22877,14648
587,20220422,8,31857,23066,8791
588,20251121,8,31117,9215,21902
589,20210828,4,26288,12675,13613
590,20230524,12,30965,27315,3650
591,20240209,10,31236,15772,15464
592,20210918,10,48446,6852,41594
593,20211107,8,7775,26567,-18792
594,20210710,14,23665,16826,6839
595,20241021,12,8920,23013,-14093
596,20220802,5,27711,13752,13959
597,20250218,6,12903,25949,-13046
598,20251020,13,14846,29382,-14536
599,20220612,4,19523,20648,-1125
600,20220603,12,20799,3420,17379
601,20240115,4,47826,3707,44119
602,20231126,14,35827,19175,16652
603,20241127,7,43514,23215,20299
604,20220420,3,35929,26433,9496
605,20250304,12,43507,9630,33877
606,20220907,5,17268,22139,-4871
607,20231121,10,7142,24211,-17069
608,20230711,5,15523,3913,11610
609,20230407,8,9203,14331,-5128
610,20210912,6,16114,12043,4071
611,20241219,1,11701,15994,-4293
612,20221231,4,21314,18516,2798
613,20240728,4,30223,14443,15780
614,20250705,9,12292,23119,-10827
615,20250711,9,35288,26779,8509
616,20240522,4,33459,14901,18558
617,20240813,12,42543,26332,16211
618,20240508,4,28082,11441,16641
619,20240102,6,37990,20482,17508
620,20250815,14,49320,3786,45534
621,20220106,14,18956,14040,4916
622,20230212,1,15549,16405,-856
623,20241006,11,37366,8210,29156
624,20251226,3,41711,4691,37020
625,20250828,6,23311,12988,10323
626,20210708,8,20142,22787,-2645
627,20251225,4,27777,11768,16009
628,20250926,4,38648,5454,33194
629,20221207,7,12858,29062,-16204
630,20231204,8,40870,11876,28994
631,20210503,2,48122,17422,30700
632,20211031,5,42488,14609,27879
633,20210722,7,23605,11220,12385
634,20210626,7,41599,8949,32650
635,20251031,1,38929,15547,23382
636,20251220,15,43722,23437,20285
637,20220914,1,26760,28184,-1424
638,20220917,6,14315,7526,6789
639,20210502,1,20337,29520,-9183
640,20221225,11,43371,5499,37872
641,20250807,11,11219,16280,-5061
642,20250506,6,21012,5403,15609
643,20230206,10,8797,19302,-10505
644,20210409,7,16462,17703,-1241
645,20241002,9,48319,15177,33142
646,20251112,14,24148,16803,7345
647,20210113,11,11251,24477,-13226
648,20231022,13,39403,5987,33416
649,20231104,5,8552,6503,2049
650,20210621,7,24581,8245,16336
651,20250310,12,12873,9128,3745
652,20240917,15,13045,27091,-14046
653,20220621,13,42883,3674,39209
654,20231109,8,34296,13621,20675
655,20220308,10,35246,26451,8795
656,20250428,7,48709,24279,24430
657,20240409,2,48162,17595,30567
658,20240722,13,28547,6753,21794
659,20210309,1,14746,16769,-2023
660,20221209,6,20616,5761,14855
661,20250726,14,17634,19970,-2336
662,20231215,1,42966,3024,39942
663,20210323,14,39343,28783,10560
664,20230306,3,17822,9787,8035
665,20240207,13,26790,24552,2238
666,20221122,9,23439,2527,20912
667,20240622,10,7966,29474,-21508
668,20240527,10,24238,26811,-2573
669,20220510,7,45948,17408,28540
670,20250313,2,19720,10887,8833
671,20240313,5,31431,14922,16509
672,20240101,6,9721,2450,7271
673,20231227,7,34007,6320,27687
674,20250606,4,14187,17808,-3621
675,20220731,4,19649,12201,7448
676,20211228,12,41610,13384,28226
677,20220228,13,30206,18229,11977
678,20250917,9,14244,12986,1258
679,20211013,4,46370,4000,42370
680,20250806,6,6539,29937,-23398
681,20250712,10,30814,15541,15273
682,20240623,13,12154,7733,4421
683,20251007,1,12981,18517,-5536
684,20220206,13,32255,20282,11973
685,20250121,8,32821,2507,30314
686,20220313,5,43007,21726,21281
687,20251014,4,27667,16999,10668
688,20250228,12,36569,10338,26231
689,20210531,15,42271,27612,14659
690,20250520,3,8277,4830,3447
691,20221210,3,6563,7308,-745
692,20211011,2,48296,3028,45268
693,20250809,12,36569,8412,28157
694,20250629,15,32048,11287,20761
695,20210521,9,40538,21797,18741
696,20221208,2,35480,3767,31713
697,20241102,8,17396,24274,-6878
698,20230816,1,16986,12509,4477
699,20230601,3,25985,28981,-2996
700,20250303,2,26622,2395,24227
701,20210507,1,13022,10937,2085
702,20240811,8,17768,9083,8685
703,20240714,9,7021,23639,-16618
704,20210511,15,37274,22953,14321
705,20211017,8,26668,15194,11474
706,20210306,4,14202,20894,-6692
707,20211008,10,49521,20710,28811
708,20240619,2,43259,27237,16022
709,20240201,12,20752,14599,6153
710,20221120,9,46572,28815,17757
711,20211213,13,37675,10526,27149
712,20230317,5,17067,13518,3549
713,20240526,11,20175,22273,-2098
714,20250427,13,14845,14062,783
715,20211114,9,37555,22462,15093
716,20231112,8,48470,11426,37044
717,20220902,3,21292,16586,4706
718,20251030,12,44098,29332,14766
719,20210322,6,45317,3875,41442
720,20250403,11,39965,3490,36475
721,20210427,3,14380,8194,6186
722,20240214,4,20110,18401,1709
723,20211204,7,38362,4856,33506
724,20230605,6,10121,16943,-6822
725,20240502,7,39772,22965,16807
726,20210913,7,48045,3038,45007
727,20230517,13,27076,29858,-2782
728,20211105,7,20079,28835,-8756
729,20221208,9,39397,6415,32982
730,20230302,2,42532,21389,21143
731,20250427,7,26110,15954,10156
732,20210813,9,8922,7886,1036
733,20230513,1,28011,28605,-594
734,20220418,15,18167,26569,-8402
735,20240720,7,46651,29830,16821
736,20221214,8,39989,6902,33087
737,20251119,5,6009,22557,-16548
738,20210614,14,41716,3332,38384
739,20230326,3,43840,2213,41627
740,20241112,15,31836,4412,27424
741,20240623,5,24578,27821,-3243
742,20250212,3,27217,14117,13100
743,20230428,15,14404,29297,-14893
744,20230619,1,47236,4439,42797
745,20231006,5,31880,17909,13971
746,20221026,10,16528,5783,10745
747,20211025,1,29885,4412,25473
748,20250510,13,47575,12680,34895
749,20220422,4,23703,17081,6622
750,20230603,6,17848,4479,13369
751,20210419,10,38427,29883,8544
752,20240304,9,24726,14668,10058
753,20230616,4,14610,24256,-9646
754,20240206,9,41501,20662,20839
755,20231224,9,37472,20763,16709
756,20220307,1,38199,21102,17097
757,20221206,2,40257,29262,10995
758,20220428,7,11806,13483,-1677
759,20211201,5,22427,23198,-771
760,20250108,12,44079,25692,18387
761,20250419,12,5271,9348,-4077
762,20210418,7,25331,19953,5378
763,20230502,9,28437,17978,10459
764,20240117,14,24061,8975,15086
765,20211124,12,43975,5546,38429
766,20240201,9,43319,21627,21692
767,20251126,13,41125,27093,14032
768,20210416,2,38833,24244,14589
769,20231002,14,30473,16577,13896
770,20211128,10,34693,2809,31884
771,20230411,6,34772,19842,14930
772,20211102,4,44909,8739,36170
773,20240223,13,24703,26827,-2124
774,20211001,14,22615,8263,14352
775,20240512,5,42099,8107,33992
776,20241210,12,5710,20249,-14539
777,20241229,4,15041,22833,-7792
778,20240419,6,26448,17086,9362
779,20251121,1,17228,6079,11149
780,20240807,2,41141,10540,30601
781,20231226,5,9238,10243,-1005
782,20221009,13,16007,11952,4055
783,20220829,5,45928,10834,35094
784,20220322,2,18434,7977,10457
785,20250708,10,43232,15103,28129
786,20250302,2,45512,14492,31020
787,20240409,12,7689,20613,-12924
788,20210715,3,16509,12261,4248
789,20221220,6,35553,25407,10146
790,20210304,9,16326,24811,-8485
791,20240928,4,19728,21941,-2213
792,20220801,9,47141,24577,22564
793,20250320,3,44913,7733,37180
794,20250117,8,19141,14468,4673
795,20211003,7,38373,13082,25291
796,20250909,9,5879,16562,-10683
797,20230114,13,47100,4419,42681
798,20220119,6,18592,28842,-10250
799,20240815,6,25111,18458,6653
800,20230814,8,27393,22694,4699
801,20220308,14,49185,23656,25529
802,20231120,13,9837,24047,-14210
803,20220429,13,18502,23327,-4825
804,20221006,14,35869,13801,22068
805,20210127,14,5044,14057,-9013
806,20210402,5,9579,17474,-7895
807,20251016,1,47995,19139,28856
808,20230809,3,44698,21954,22744
809,20211215,11,49509,11665,37844
810,20220801,10,31649,16297,15352
