Record_ID,Employee_ID,Date_ID,Attrition_Flag,Performance_Score,Training_Hours
229,387,20210428,0,3,2
230,288,20210622,0,5,12
231,450,20230328,0,5,19
232,189,20240906,0,5,23
233,399,20230330,0,4,28
234,249,20220619,0,2,39
235,268,20210316,0,2,26
236,145,20251203,0,4,6
237,16,20231110,0,2,29
238,105,20221003,0,2,20
239,335,20231122,0,2,23
240,123,20250814,0,2,16
241,441,20220909,0,2,11
242,22,20210502,0,3,31
243,295,20240617,0,5,2
244,48,20240918,0,5,4
245,92,20220201,0,4,26
246,455,20210505,0,4,5
247,16,20250613,0,5,11
248,417,20250504,0,4,16
249,331,20230915,0,4,33
250,35,20230819,0,4,3
251,365,20211030,0,5,7
252,249,20210501,0,1,34
253,260,20221223,0,4,7
254,85,20250326,0,3,6
255,401,20220419,0,1,21
256,265,20221021,0,3,20
257,466,20211014,0,3,17
258,101,20251129,0,5,33
259,438,20250129,0,3,21
260,160,20220208,0,2,32
261,127,20210718,0,1,2
262,382,20240212,0,1,38
263,6,20220611,0,3,23
264,97,20230918,0,2,27
265,477,20250118,0,2,32
266,176,20250408,0,3,10
267,163,20250512,0,5,18
268,434,20230828,0,4,23
269,317,20230513,0,1,0
270,313,20221126,0,3,38
271,378,20211016,0,1,29
272,238,20211124,0,4,23
273,187,20221023,0,2,20
274,37,20220224,0,5,17
275,456,20251215,0,5,2
276,477,20210807,0,2,20
277,250,20220303,0,3,34
278,380,20220124,0,5,5
279,85,20240202,0,3,26
280,85,20230427,0,5,8
281,397,20230628,0,5,13
282,332,20250113,0,4,9
283,404,20231230,0,3,31
284,340,20240924,0,1,20
285,362,20250813,0,3,35
286,56,20251109,0,3,19
287,56,20230928,0,4,37
288,51,20230330,0,5,29
289,415,20220827,0,1,6
290,230,20210214,0,5,31
291,351,20241017,0,4,16
292,245,20230925,0,2,39
293,492,20221231,0,5,6
294,408,20210603,1,3,2
295,309,20240127,0,5,13
296,129,20241028,0,1,19
297,220,20230405,0,2,18
298,360,20230614,0,3,3
299,222,20210804,0,2,26
300,256,20220224,0,5,8
301,346,20230501,0,4,7
302,336,20241112,0,4,2
303,275,20220427,0,5,0
304,238,20220801,0,3,33
305,189,20240407,0,2,6
306,91,20210128,0,2,32
307,42,20240924,0,4,25
308,256,20220731,0,1,28
309,66,20251217,0,3,34
310,117,20241212,1,3,11
311,127,20240725,0,5,28
312,185,20210212,0,1,14
313,188,20240909,1,2,11
314,197,20250209,0,3,4
315,106,20220124,0,5,36
316,396,20251014,0,1,5
317,10,20230704,0,4,3
318,39,20230913,0,3,20
319,382,20230805,0,5,2
320,304,20250913,0,2,10
321,41,20251028,0,1,7
322,353,20210903,0,3,20
323,108,20230525,0,3,6
324,174,20230927,0,5,0
325,407,20251202,1,2,3
326,137,20210812,0,5,34
327,150,20220618,0,5,39
328,269,20220124,0,2,23
329,302,20220620,0,4,29
330,313,20221030,0,4,8
331,156,20221229,0,2,8
332,263,20250901,1,3,28
333,219,20241106,0,1,31
334,387,20210622,0,1,18
335,496,20220708,0,2,37
336,294,20250115,0,3,15
337,378,20211019,1,5,28
338,397,20241227,0,2,38
339,123,20210618,0,5,38
340,5,20240506,0,4,29
341,206,20241017,0,3,27
342,461,20240416,0,2,15
343,359,20240605,0,2,19
344,31,20210923,1,5,31
345,68,20220106,0,5,37
346,123,20240805,0,2,8
347,1,20210503,0,3,28
348,399,20240320,0,2,21
349,374,20221030,0,5,7
350,188,20251122,0,4,36
351,376,20241029,0,4,31
352,93,20220426,1,4,37
353,192,20220308,0,5,11
354,461,20220817,0,1,30
355,326,20250128,0,3,23
356,492,20211211,0,3,2
357,207,20251222,0,5,24
358,373,20230720,0,2,9
359,213,20221014,0,1,24
360,233,20240820,0,2,25
361,83,20231108,0,1,18
362,266,20230207,0,1,26
363,200,20240905,0,5,23
364,86,20250121,0,2,7
365,288,20210724,0,4,33
366,198,20210729,0,1,31
367,34,20211109,0,3,26
368,274,20210913,0,5,11
369,187,20250709,0,5,15
370,471,20230516,1,5,32
371,486,20220718,0,2,25
372,240,20211106,0,4,38
373,461,20231019,0,3,18
374,102,20210128,0,3,30
375,88,20240803,0,5,24
376,117,20211110,0,4,12
377,224,20230623,0,1,23
378,132,20220514,0,4,35
379,37,20241008,0,2,6
380,128,20210217,0,3,0
381,414,20220528,0,4,29
382,104,20250325,0,5,5
383,306,20220302,0,5,27
384,486,20250906,0,5,15
385,99,20251201,0,1,16
386,90,20230911,0,4,38
387,484,20230818,0,3,11
388,447,20220403,0,1,9
389,69,20221215,0,2,12
390,222,20210311,0,1,36
391,382,20210310,0,2,17
392,40,20210812,0,4,19
393,298,20210702,0,3,28
394,60,20240508,0,2,39
395,103,20211107,0,2,7
396,393,20251207,0,4,6
397,493,20231203,0,1,11
398,354,20210609,0,1,36
399,47,20230104,0,1,6
400,2,20220615,0,1,18
401,330,20210823,0,1,26
402,414,20230105,0,5,32
403,227,20220830,0,2,35
404,349,20220902,0,4,4
405,427,20250911,0,3,39
406,408,20220520,0,5,39
407,357,20251114,0,1,26
408,94,20250705,1,3,3
409,115,20211028,0,5,31
410,3,20210817,0,4,20
411,11,20210918,0,2,32
412,366,20251103,0,1,34
413,488,20250623,0,5,32
414,53,20241129,0,4,16
415,466,20241021,0,3,7
416,236,20220405,0,4,36
417,47,20230730,0,4,36
418,121,20240114,0,5,1
419,483,20230304,0,4,15
420,52,20220901,0,5,14
421,46,20230111,0,2,3
422,318,20221028,0,1,10
423,294,20230321,0,3,1
424,27,20221024,0,1,23
425,315,20240110,0,5,39
426,409,20211129,0,2,13
427,73,20251206,0,3,28
428,415,20240707,1,5,27
429,165,20240608,0,4,3
430,137,20221002,0,1,5
431,198,20210610,0,3,25
432,457,20231122,0,1,1
433,209,20220804,0,5,4
434,497,20211018,0,2,25
435,153,20220301,0,2,25
436,64,20221111,0,5,2
437,230,20210218,1,5,8
438,256,20250618,0,4,1
439,7,20240819,0,5,17
440,177,20210909,0,4,35
441,99,20230828,1,1,21
442,498,20231104,0,5,20
443,366,20220204,0,1,3
444,366,20230731,0,1,24
445,18,20240319,0,3,28
446,376,20250902,0,2,39
447,8,20220802,0,2,13
448,129,20240325,0,1,13
449,481,20211225,0,5,4
450,450,20220225,0,2,10
451,137,20210414,0,2,38
452,398,20240511,0,2,39
453,226,20221223,0,4,9
454,152,20220915,0,3,16
455,233,20250223,0,1,35
456,227,20240205,0,2,15
457,411,20210115,0,2,24
458,351,20210308,0,2,39
459,174,20251207,0,3,26
460,77,20231010,0,4,4
461,91,20221028,0,5,30
462,8,20240420,0,1,36
463,164,20210508,1,3,35
464,18,20221122,0,5,33
465,313,20220914,0,1,38
466,325,20231022,1,5,36
467,423,20211111,0,1,1
468,172,20240324,1,5,37
469,228,20210315,0,3,16
470,312,20211221,0,1,3
471,49,20240906,0,2,18
472,448,20210619,0,3,25
473,200,20220302,0,1,19
474,3,20221022,0,1,39
475,125,20211204,0,5,7
476,499,20240321,0,3,36
477,366,20250307,0,4,6
478,193,20211202,0,3,34
479,60,20241006,1,1,7
480,157,20211017,1,4,8
481,303,20230501,0,3,3
482,155,20230901,0,2,31
483,211,20231208,0,2,20
484,438,20250913,0,1,20
485,327,20241105,0,5,13
486,307,20241108,0,3,24
487,94,20210115,0,4,5
488,221,20231116,1,1,26
489,33,20240806,0,5,30
490,422,20220406,0,3,39
491,55,20250911,0,1,9
492,127,20230314,0,3,28
493,136,20221220,1,5,33
494,207,20240301,1,3,1
495,314,20210620,0,4,19
496,177,20220530,1,1,17
497,476,20250206,0,1,25
498,93,20230206,0,4,7
499,73,20231014,0,2,30
500,81,20220415,0,1,30
501,126,20240115,0,4,27
502,35,20230610,0,5,14
503,70,20210926,0,3,16
504,193,20230129,0,3,37
505,247,20250701,0,4,12
506,183,20231126,1,2,6
507,95,20210824,0,3,37
508,330,20250302,0,1,35
509,213,20220426,0,1,39
510,34,20230315,0,3,3
511,81,20220104,0,2,27
512,290,20240105,0,5,34
513,89,20250816,0,3,12
514,444,20241101,0,1,36
515,455,20230926,0,2,10
516,387,20220327,0,4,32
517,274,20210911,0,1,22
518,130,20210126,0,1,19
519,270,20240521,0,2,39
520,466,20220712,0,4,2
521,20,20241221,0,1,0
522,151,20210209,0,3,16
523,409,20251029,0,5,7
524,79,20250914,0,3,22
525,21,20220430,0,5,16
526,215,20221102,0,3,4
527,362,20211101,0,5,24
528,214,20230921,0,5,19
529,187,20210609,0,2,16
530,251,20250209,0,3,38
531,386,20221219,0,5,36
532,425,20240603,0,5,7
533,77,20231025,0,4,15
534,489,20230215,0,2,32
535,297,20250119,0,3,14
536,187,20250918,0,2,15
537,290,20230424,0,5,27
538,91,20210820,0,1,35
539,131,20230504,0,2,21
540,218,20220423,0,1,21
541,295,20241024,0,5,14
542,373,20250919,0,4,3
543,391,20221214,0,4,34
544,79,20220315,0,1,0
545,461,20211129,0,3,1
546,244,20220606,0,1,14
547,349,20241218,0,2,36
548,311,20230513,0,1,20
549,206,20230130,0,2,15
550,95,20211218,0,3,12
551,195,20240921,0,3,18
552,30,20221223,0,2,1
553,290,20240107,0,1,12
554,189,20230729,1,2,26
555,82,20230419,0,1,39
556,99,20230410,0,4,18
557,256,20220323,0,2,15
558,303,20211005,0,5,36
559,26,20240124,0,4,20
560,452,20210715,0,5,33
561,265,20250112,1,1,31
562,32,20210626,0,4,27
563,165,20250405,1,4,23
564,72,20210819,1,3,28
565,220,20250807,0,2,2
566,284,20230415,0,3,1
567,202,20210124,0,5,26
568,376,20250917,1,1,14
569,389,20240117,0,3,20
570,278,20211031,0,3,24
571,181,20251004,0,4,36
572,210,20210610,1,4,20
573,229,20240814,0,4,28
574,436,20230226,0,4,37
575,406,20210124,0,4,36
576,149,20230910,0,3,20
577,495,20210129,0,2,30
578,40,20210729,0,1,31
579,278,20230312,0,2,1
580,71,20220407,0,3,7
581,307,20220116,0,1,1
582,475,20211009,0,1,25
583,105,20211101,0,4,33
584,163,20230405,0,3,34
585,229,20230709,0,5,12
586,118,20211002,0,3,10
587,290,20220320,0,4,19
588,476,20211207,0,4,21
589,99,20241224,0,1,8
590,103,20240330,0,5,38
591,38,20220623,0,4,20
592,490,20210104,0,4,22
593,31,20220220,1,1,35
594,262,20251218,1,1,22
595,327,20251221,0,5,1
596,469,20221206,1,4,25
597,164,20250318,0,3,21
598,87,20210320,0,3,27
599,438,20250106,0,1,20
600,166,20250503,0,1,25
601,175,20240722,0,5,12
602,434,20231010,0,3,6
603,29,20220809,0,2,27
604,98,20220703,0,5,2
605,117,20211013,0,3,28
606,328,20241212,0,2,12
607,330,20251230,0,5,2
608,175,20220606,0,1,31
609,116,20210328,0,3,17
610,95,20230731,0,3,13
611,210,20250121,0,3,9
612,44,20210906,0,2,22
613,275,20210511,0,1,7
614,322,20250520,0,2,3
615,474,20221006,0,2,25
616,180,20240712,0,2,22
617,331,20251005,0,1,26
618,358,20240210,0,3,23
619,146,20250910,0,5,21
620,141,20240602,1,1,15
621,476,20211127,0,5,23
622,178,20230502,0,3,33
623,155,20211224,0,1,32
624,17,20230110,0,5,14
625,66,20240321,0,2,11
626,324,20240829,1,3,6
627,416,20240506,0,1,9
628,188,20220721,0,2,8
629,423,20211012,0,5,11
630,148,20220917,0,3,32
631,342,20240406,0,1,15
632,215,20210112,0,3,5
633,3,20210627,0,4,16
634,227,20211104,1,2,6
635,198,20240203,1,3,8
636,171,20230607,0,4,2
637,400,20240419,0,5,7
638,355,20251222,0,1,9
639,249,20240324,0,3,32
640,354,20230811,0,2,1
641,276,20240228,0,4,31
642,169,20230127,0,5,1
643,124,20251025,1,1,38
644,160,20220912,0,3,0
645,352,20251119,1,4,4
646,298,20251129,0,4,20
647,322,20250821,0,2,28
648,493,20250605,0,3,2
649,166,20230104,0,3,37
650,419,20240531,0,1,31
651,197,20250618,0,4,13
652,413,20231127,0,2,37
653,374,20250824,0,4,35
654,426,20210613,0,5,24
655,440,20210413,0,5,20
656,390,20241121,1,1,7
657,351,20231023,0,2,0
658,167,20241015,1,3,29
659,260,20240420,0,1,5
660,179,20220101,0,2,20
661,275,20220708,0,4,24
662,123,20210225,0,1,5
663,105,20211209,0,4,32
664,71,20230121,1,3,2
665,124,20210926,0,5,15
666,56,20220102,0,4,32
667,484,20250912,0,1,8
668,14,20250423,0,5,35
669,44,20240127,0,1,39
670,490,20210409,0,2,20
671,153,20210328,0,5,10
672,252,20220303,0,3,5
673,7,20250705,0,1,21
674,110,20240529,0,4,24
675,369,20230712,0,1,33
676,85,20220119,1,4,4
677,136,20251123,0,1,30
678,246,20250607,0,3,15
679,318,20230202,0,4,0
680,71,20240612,1,4,20
681,112,20210526,1,3,37
682,103,20241219,0,5,22
683,241,20240204,0,3,15
684,144,20240922,0,4,33
685,367,20241001,0,2,31
686,285,20211124,0,4,3
687,122,20230129,0,1,13
688,4,20230814,1,3,28
689,491,20230825,0,1,30
690,179,20250103,0,4,30
691,343,20240414,0,2,37
692,470,20240905,0,2,9
693,263,20221126,0,3,16
694,389,20250920,1,2,8
695,165,20210312,0,2,39
696,416,20230729,0,1,14
697,246,20221110,0,3,16
698,7,20220408,0,4,4
699,78,20250115,0,2,25
700,243,20240604,0,4,17
701,446,20250703,0,2,34
702,40,20220127,0,3,34
703,493,20250724,1,4,39
704,484,20250105,0,1,22
705,83,20220317,1,2,0
706,39,20220412,0,2,25
707,158,20221125,0,4,6
708,388,20220727,0,3,29
709,476,20240830,0,2,3
710,109,20240416,0,4,33
711,77,20250622,0,2,26
712,63,20221008,0,1,8
713,284,20240405,0,4,10
714,449,20231113,0,3,21
715,204,20240711,0,2,18
716,118,20211218,0,2,16
717,77,20240220,0,4,24
718,116,20240622,0,1,39
719,284,20250316,0,4,10
720,274,20211015,0,4,27
721,402,20230726,0,2,9
722,274,20251203,0,5,38
723,244,20240920,0,3,12
724,489,20250307,0,3,6
725,291,20251106,0,2,24
726,109,20230228,0,2,39
727,363,20221030,0,5,26
728,183,20230624,0,1,22
729,327,20230802,0,1,12
730,486,20220218,0,4,39
731,398,20250517,0,4,28
732,438,20230704,0,4,9
733,364,20241009,0,1,5
734,81,20250408,0,4,38
735,45,20250123,0,4,37
736,434,20241203,0,5,31
737,415,20210528,0,2,22
738,165,20220802,0,1,4
739,46,20251123,0,1,34
740,147,20240217,0,1,16
741,57,20240221,0,5,31
742,341,20250323,0,1,8
743,10,20231109,0,3,23
744,130,20221102,0,2,4
745,219,20230527,0,2,18
746,75,20220323,0,5,5
747,392,20240610,0,4,33
748,349,20230321,0,2,5
749,378,20230220,0,5,17
750,490,20230415,0,2,25
751,205,20250726,0,2,31
752,248,20231017,1,1,17
753,399,20210221,0,4,5
754,260,20220529,0,1,11
755,95,20240922,1,1,8
756,151,20230414,0,2,22
757,488,20250429,0,3,10
758,90,20231119,0,3,32
759,265,20221127,0,2,28
760,401,20251220,0,1,25
761,60,20221105,0,3,14
762,411,20250302,0,1,15
763,107,20240102,0,5,26
764,250,20231113,0,1,39
765,156,20240820,0,3,20
766,320,20240125,0,3,27
767,317,20210423,0,4,6
768,156,20240808,0,1,3
769,210,20250620,0,4,2
770,182,20220528,0,1,3
771,438,20250216,1,3,21
772,431,20250823,0,4,27
773,15,20231016,0,2,3
774,349,20250322,0,1,2
775,382,20250523,0,4,7
776,374,20210822,0,1,34
777,42,20210218,0,2,16
778,177,20220519,0,4,33
779,4,20210918,0,3,27
780,219,20240611,0,4,12
781,461,20230806,0,1,21
782,152,20240113,1,1,10
783,229,20220528,0,4,31
784,339,20240511,0,1,23
785,254,20251017,0,1,3
786,233,20220926,0,1,4
787,310,20220730,0,2,23
788,317,20250208,0,4,7
789,214,20211023,1,3,14
790,258,20210212,1,2,1
791,292,20231006,1,5,14
792,192,20240418,0,3,5
793,322,20240613,0,4,31
794,81,20251215,0,5,20
795,306,20210423,1,1,33
796,459,20210730,0,5,24
797,282,20210905,1,2,13
798,200,20251213,0,4,39
799,228,20220611,1,2,25
800,306,20250601,0,3,18
801,430,20210817,0,5,14
802,466,20231007,0,3,3
803,188,20230704,0,5,11
804,332,20250728,0,2,18
805,57,20211106,1,1,14
806,61,20220610,0,5,29
807,371,20231229,0,5,7
808,68,20211207,0,4,16
809,89,20220715,0,2,37
810,473,20230409,0,1,2
811,289,20250707,0,4,20
812,459,20250730,0,4,11
813,185,20220421,0,4,33
814,388,20230101,0,2,0
815,399,20210720,0,2,17
816,298,20210314,0,3,2
817,81,20220908,0,3,33
818,420,20231006,0,5,37
819,100,20220422,0,2,3
820,148,20250209,0,4,17
821,239,20210120,1,4,35
822,425,20240601,0,5,9
823,248,20250326,0,1,37
824,380,20241203,0,2,21
825,97,20220628,0,5,18
826,436,20240630,1,3,39
827,75,20250917,0,5,37
828,57,20251004,0,5,12
829,178,20210312,0,2,12
830,491,20220816,0,5,22
831,362,20250506,0,1,10
832,58,20250619,0,2,21
833,486,20231203,0,3,22
834,201,20210822,0,4,24
835,170,20220123,0,4,12
836,379,20250113,0,3,30
837,55,20240203,0,2,8
838,121,20250510,0,2,4
839,6,20240622,0,4,3
840,41,20210616,0,1,23
841,246,20230315,1,1,27
842,21,20230902,0,5,17
843,147,20240821,0,4,37
844,10,20250421,1,4,37
845,235,20230322,0,4,26
846,300,20220119,0,4,8
847,27,20231205,0,1,12
848,120,20231103,0,2,39
849,403,20210115,0,4,33
850,336,20210909,0,5,22
851,356,20240613,0,5,13
852,322,20210502,0,1,18
853,60,20250216,1,4,7
854,45,20250801,0,3,4
855,50,20230527,0,3,27
856,387,20210721,0,2,6
857,409,20221107,0,5,11
858,136,20240817,0,1,6
859,332,20240125,0,4,21
860,248,20220729,0,5,30
861,446,20220211,1,2,19
862,239,20210406,0,2,33
863,167,20210810,0,4,11
864,93,20250211,0,2,14
865,23,20220529,0,4,21
866,304,20210703,0,4,26
867,349,20230403,0,3,19
868,444,20240320,0,2,13
869,247,20220127,0,1,19
870,402,20251019,0,3,2
871,199,20240627,0,2,23
872,210,20240425,0,3,4
873,345,20230629,0,1,11
874,346,20230301,0,5,32
875,241,20231211,0,1,21
876,469,20230610,0,5,27
877,324,20251117,0,5,3
878,446,20221216,0,5,16
879,72,20210919,0,4,37
880,218,20220609,0,3,16
881,302,20250827,0,3,21
882,134,20250623,0,5,29
883,121,20210516,0,5,5
884,74,20240716,0,4,1
885,205,20230624,0,2,32
886,347,20221009,0,4,4
887,226,20230618,1,2,3
888,497,20250409,0,5,3
889,420,20250704,0,5,8
890,148,20241226,0,4,37
891,252,20240810,0,5,17
892,475,20230204,0,5,16
893,477,20240412,0,5,27
894,456,20240613,0,4,11
895,333,20210402,0,3,28
896,358,20241016,0,1,12
897,452,20230617,0,1,15
898,286,20251030,0,4,31
899,500,20220801,0,5,21
900,227,20240811,0,4,26
901,276,20221023,0,4,19
902,322,20231029,0,2,31
903,285,20221011,0,5,33
904,200,20230701,0,1,13
905,321,20210625,0,5,23
906,475,20220317,0,3,25
907,67,20210118,0,4,37
908,80,20250705,0,3,14
909,426,20210615,0,4,36
910,393,20241103,0,3,17
911,10,20240829,1,3,8
912,457,20220121,0,5,34
913,327,20210730,0,2,29
914,245,20221220,0,2,23
915,447,20211205,0,3,35
916,474,20220907,0,1,9
917,297,20230103,1,4,3
918,98,20250822,0,1,5
919,372,20230914,0,5,31
920,32,20221119,0,4,7
921,308,20251106,0,4,39
922,304,20230430,0,4,19
923,124,20241231,0,5,14
924,75,20230612,0,5,32
925,267,20210127,0,5,28
926,210,20240329,0,2,29
927,415,20230327,0,1,10
928,111,20241225,1,4,2
929,56,20231222,0,2,38
930,30,20240229,0,3,31
931,161,20240213,1,3,22
932,416,20210310,0,4,18
933,384,20251112,1,1,15
934,168,20230722,0,4,30
935,298,20210921,0,4,38
936,303,20231004,0,2,29
937,3,20241113,0,2,16
938,207,20210130,0,2,1
939,326,20220714,0,3,21
940,234,20251127,0,5,24
941,26,20251118,0,2,21
942,299,20240124,0,3,32
943,188,20220617,0,5,39
944,423,20220719,0,4,9
945,322,20231005,1,1,30
946,217,20250228,0,5,2
947,87,20210814,0,4,30
948,373,20220726,0,5,3
949,24,20240402,0,5,12
950,135,20230522,0,5,4
951,328,20220512,0,5,35
952,12,20230925,0,1,14
953,274,20220921,0,5,34
954,365,20251124,1,2,19
955,77,20250501,1,5,32
956,490,20210726,0,3,15
957,326,20250802,0,2,16
958,188,20230107,0,4,5
959,144,20230818,0,3,39
960,265,20220912,0,2,16
961,7,20240621,0,5,0
962,38,20210510,0,5,26
963,338,20210826,0,3,12
964,323,20210713,0,3,23
965,120,20240625,1,4,26
966,160,20240409,0,5,22
967,230,20240910,0,1,16
968,222,20240708,1,2,30
969,371,20220302,0,5,22
970,4,20241207,0,1,3
971,12,20211124,0,3,5
972,262,20221204,0,2,14
973,87,20241014,0,4,21
974,253,20230630,0,5,12
975,184,20210523,0,3,28
976,380,20240508,0,4,29
977,337,20211004,0,5,26
978,156,20250901,0,5,22
979,125,20221102,1,1,32
980,168,20240223,0,1,26
981,45,20221021,1,3,10
982,112,20231206,0,5,0
983,77,20230821,0,4,17
984,64,20210811,0,4,6
985,211,20250313,0,1,12
986,97,20221024,0,1,38
987,156,20230119,0,3,13
988,124,20211121,0,3,20
989,397,20220820,0,5,38
990,451,20231026,0,2,8
991,465,20250914,0,1,9
992,330,20210513,0,2,11
993,215,20250522,0,1,27
994,400,20220221,0,1,19
