Campaign_ID,Date_ID,Channel,Spend,Impressions,Clicks,Conversions
82,20210730,Events,10795,465503,7331,926
83,20250523,Digital,26667,461214,16057,2574
84,20230307,Social,33930,198211,16039,2057
85,20220815,Digital,10394,63575,13397,1762
86,20220722,Events,41291,393971,8188,998
87,20221015,Social,17386,485320,8511,1620
88,20210127,Digital,40769,247660,12633,2456
89,20211209,TV,17098,99266,15714,1774
90,20210808,Digital,28251,493927,18237,1820
91,20220721,Events,25349,320869,15310,2485
92,20220909,Events,15712,160804,11692,1302
93,20221202,Events,40516,125964,7173,787
94,20210410,Social,45912,186736,14773,2719
95,20210812,TV,16788,313016,16622,1730
96,20210820,TV,32750,366493,2343,258
97,20230131,TV,6542,464119,14918,1323
98,20230309,Events,7061,140297,10102,1560
99,20221008,TV,38664,473934,19798,2350
100,20210506,Social,34533,13811,16811,922
101,20240122,Events,9074,453727,7790,1325
102,20220324,Digital,25737,210087,4386,293
103,20250905,Social,36422,449217,17421,2937
104,20210708,Events,42464,259153,18590,3223
105,20250717,Digital,42433,261674,12290,707
106,20210201,Events,20888,483707,3868,269
107,20250204,Events,44627,390410,14604,1272
108,20230628,Events,36580,164763,10567,1422
109,20221106,TV,40669,231576,18855,3691
110,20250528,Events,22462,199359,9014,1280
111,20211125,TV,25159,78619,11074,1729
112,20250608,Social,45833,361108,10963,1482
113,20240623,Digital,27471,155207,11898,850
114,20250626,Digital,25553,96790,5923,422
115,20220617,Events,44787,417643,11441,2181
116,20221012,Events,11942,301704,10397,850
117,20250809,Social,14414,435459,7101,958
118,20230630,Events,16888,287806,15199,2389
119,20210910,Digital,18584,481417,17596,3142
120,20230531,Social,20081,143385,1367,149
121,20220621,Social,46981,176198,3779,446
122,20250123,Social,42708,479001,3497,402
123,20231108,Events,36599,126911,19172,1816
124,20230717,Digital,5086,336891,8419,693
125,20220508,Digital,45518,353353,19894,3231
126,20211201,Social,47211,39336,13797,2637
127,20220921,Events,16095,117480,2402,333
128,20240228,TV,6134,442796,11400,736
129,20211010,Digital,15809,54530,5300,929
130,20210731,Events,22637,381461,19760,1691
131,20240618,Events,43030,130862,9317,1076
132,20230925,Social,26906,45472,18385,2468
133,20220622,Social,47235,401455,8879,577
134,20250418,Digital,6578,300918,12698,1939
135,20240320,TV,42323,143361,8005,1514
136,20230515,Social,15140,484440,10077,716
137,20241221,Events,9829,176938,5840,1056
138,20250101,Digital,27124,290886,12682,801
139,20220214,TV,43582,199506,14749,2471
140,20220908,TV,13070,85865,19633,1031
141,20211019,Events,37370,482336,13853,948
142,20250203,Social,29278,318618,16674,1318
143,20230128,Social,13233,187404,9490,952
144,20241123,Digital,30078,148226,13950,1091
145,20210301,TV,13776,118430,11725,1236
146,20210521,Events,33238,491334,12375,2218
147,20230610,Events,44834,200834,13071,1202
148,20240103,Digital,21708,298166,10839,909
149,20240110,Events,15494,494050,11304,1925
150,20220826,Social,21567,211786,18467,1136
151,20211122,Events,13020,71167,13198,2299
152,20250118,Social,16323,45507,6424,843
153,20210625,TV,21678,332364,16325,1088
154,20220910,Social,6164,278656,18495,3533
155,20230726,Social,17317,412732,9069,652
156,20211004,Digital,6324,298592,7894,827
157,20210123,TV,22799,268451,10019,1441
158,20210310,TV,36181,433980,12373,623
159,20220618,Events,8879,424238,10744,2088
160,20220409,TV,23419,460429,10472,1172
161,20240107,Digital,7827,84639,4200,292
162,20220904,TV,9375,151092,18014,3226
163,20230627,Events,8779,62514,14868,1241
164,20251001,Digital,45218,427858,10170,1395
165,20250429,Events,33848,406979,6784,617
166,20251110,Social,6213,134108,12502,1963
167,20231111,TV,8128,145073,14358,1718
168,20230615,Social,13886,392507,11099,1510
169,20220130,Digital,17054,356170,16228,2187
170,20250110,Social,28811,455410,4695,909
171,20250303,Digital,36517,317945,17127,959
172,20231004,Digital,19237,450768,14870,1776
173,20240331,Digital,49211,324616,5628,574
174,20240919,Social,18891,56637,11238,633
175,20210829,Digital,41639,360720,14596,2089
176,20220212,Digital,28844,426166,1325,197
177,20250725,Events,14809,363958,18474,1622
178,20240613,Social,22632,31558,1067,64
179,20220517,Digital,30289,247260,1701,310
180,20250428,Events,40469,217154,3234,516
181,20220211,Social,26158,238489,12589,1688
182,20220104,Social,32162,335650,7644,954
183,20220225,Digital,34344,430449,13126,817
184,20230426,Social,21941,228998,5223,868
185,20210419,Digital,6498,399311,11683,1529
186,20220206,TV,17736,488878,3575,686
187,20251004,Digital,14301,283455,4985,344
188,20240511,Social,29132,343197,18537,1857
189,20210212,Events,20378,487589,17687,1814
190,20220113,Events,6414,318225,16008,1198
191,20211207,TV,45238,185763,7380,1112
192,20221010,Digital,11205,451106,17621,1095
193,20231220,Digital,13546,230424,10256,1075
194,20210630,Events,46950,472241,4663,269
195,20220728,Social,34402,190328,2673,500
196,20240629,Events,5712,261170,2916,219
197,20210630,Events,9684,333513,15378,2429
198,20231031,Digital,17406,351993,8842,1690
199,20250722,Social,5329,342795,1344,247
200,20240121,Social,29516,399953,19989,2883
201,20220404,Events,15695,473829,16072,1214
202,20210529,Digital,38121,325155,11401,1503
203,20240422,Social,23668,343172,19588,2037
204,20221002,Events,17178,234684,1997,255
205,20210411,Events,34702,177966,17220,2516
206,20240805,Events,26335,10680,10134,1527
207,20210109,Social,43605,217552,9991,1485
208,20241226,Digital,36866,351629,2066,364
209,20250423,Digital,31557,90692,8508,1579
210,20250906,Digital,21081,316557,13950,2040
211,20220610,Digital,16442,266598,9401,845
212,20240207,TV,11748,171980,17620,2250
213,20250907,Digital,31656,154627,14657,1121
214,20210818,TV,26269,331652,9801,1111
215,20210612,Social,20887,120553,11794,1923
216,20240331,Digital,23792,427964,6639,1291
217,20220211,Events,49216,57455,14880,1311
218,20220921,Social,8711,63772,13930,1480
219,20220211,Digital,40761,308523,2694,314
220,20220519,Digital,10898,326733,8085,1247
221,20220806,Digital,24495,473908,9164,1525
222,20250710,TV,36264,439889,13690,1395
223,20221006,Social,20330,423160,1961,244
224,20221027,Social,12664,359288,3510,252
225,20230304,Events,20118,264791,6770,977
226,20250714,Social,29296,424555,11764,1978
227,20241007,Digital,20745,224634,6090,894
228,20221114,TV,23839,26186,6299,1219
229,20210828,Digital,6219,69507,18335,1837
230,20240203,Events,24297,115667,10237,1150
231,20240804,Social,47692,486849,11584,1212
232,20250325,Digital,16302,265965,18232,1748
233,20250628,Events,30319,54825,18264,1195
234,20211012,Events,34870,428432,16279,990
235,20251122,TV,47754,483381,12425,1544
236,20220927,Events,36332,100752,5901,1054
237,20211201,Digital,32651,223569,12216,742
238,20220520,Events,9458,14946,14606,1787
239,20230907,Social,46099,101654,9077,647
240,20221014,TV,25599,305267,3621,367
241,20211220,Digital,44018,187443,7895,503
242,20250319,Digital,29319,282976,18100,3107
243,20241025,Social,40942,142014,19640,3125
244,20230827,Digital,22373,129680,16510,2858
245,20211007,Events,42646,163011,11478,662
246,20211030,Social,23511,39853,7409,1466
247,20220122,Social,25231,390849,6787,1147
248,20250710,TV,36071,188748,18589,1108
249,20241002,Social,29392,148206,9617,1254
250,20240916,TV,17338,124459,10346,1016
251,20230916,TV,16781,49019,13214,854
252,20210704,Digital,22919,190201,18758,1600
253,20231209,Social,16506,497044,2228,145
254,20250401,TV,37943,472692,10654,1144
255,20230519,Digital,13725,100525,9637,1283
256,20240920,TV,29034,300679,13382,1725
257,20240319,TV,11681,276572,1963,99
258,20251224,TV,17987,206140,7556,1313
259,20250111,Social,49927,255225,9756,1064
260,20231216,Events,36854,224146,17471,3307
261,20231104,Digital,43499,337082,19696,2372
262,20240624,Events,11197,455199,9796,1752
263,20220716,Digital,26389,336425,16323,1978
264,20230730,Social,31845,455963,16889,2049
265,20240928,TV,25726,186311,10226,664
266,20251205,Digital,39084,302747,10229,1877
267,20221216,Social,15656,392763,1525,194
268,20210116,Social,37371,67991,4598,913
269,20221025,Digital,20505,338173,14015,2205
270,20250602,Events,48468,498695,18415,2349
271,20240124,TV,40750,108662,16312,2408
272,20250505,Digital,41306,368825,9168,697
273,20220726,Events,44374,37950,10884,2081
274,20211216,Events,20160,101899,11360,1058
275,20230903,Events,9862,246269,13141,1413
276,20231111,TV,22744,60544,4122,260
277,20250131,Events,22663,306622,6071,484
278,20240718,Digital,32447,403891,8815,527
279,20240415,TV,28381,302969,9300,1208
280,20210525,Social,30221,452071,14307,1538
281,20210321,Digital,42904,365526,10894,2095
282,20210116,Events,29535,457942,2198,220
283,20241207,Events,45452,196883,4049,792
284,20210728,Events,7113,261078,3927,519
285,20240718,Events,10511,379093,15250,2576
286,20221115,Events,40064,147701,6261,930
287,20231206,Social,28658,476348,15887,1030
288,20210314,TV,5198,231798,10832,800
289,20251030,Digital,5452,194854,18920,2199
290,20250711,Social,41707,94539,6023,357
291,20220619,Social,41163,358285,6457,1286
292,20210317,Events,41451,336370,3586,284
293,20230101,Events,10952,27839,7779,1022
294,20240103,Events,30721,245659,14022,1160
295,20240619,Digital,25301,165978,12689,1504
296,20240308,TV,28086,236904,5859,1039
297,20210703,Events,11389,236867,8694,768
298,20240506,Events,17371,344777,8913,926
299,20250111,Events,47686,420347,12937,890
300,20240213,TV,22362,496914,13101,1582
301,20251026,Social,31483,198487,19622,3232
302,20241124,Digital,22601,361794,10436,525
303,20250514,Digital,17370,396090,12895,2243
304,20220422,TV,28210,342779,3832,634
305,20210308,Events,16577,136414,7302,966
306,20230303,Social,18631,452759,18498,1565
307,20241105,TV,43008,415409,8574,1315
308,20240217,TV,22903,186597,2120,294
309,20251107,TV,18783,194918,19380,2383
310,20210920,Digital,22043,347782,12323,968
311,20240112,Social,41022,197365,18058,1626
312,20231130,Digital,33425,220964,17508,3333
313,20220427,Digital,40314,11431,8826,1734
314,20220714,TV,13965,442038,17536,1376
315,20240319,Social,7055,154098,18994,1116
316,20220609,TV,30177,189797,5021,868
317,20210929,Events,42579,310272,4636,652
318,20211220,Events,29859,17476,16187,2028
319,20250129,Social,26553,119267,1645,188
320,20220424,Events,30960,413227,8765,1234
321,20230413,TV,8441,302605,10915,1174
322,20231008,TV,20962,140040,10526,1550
323,20230523,Events,26532,386885,14328,1335
324,20210407,TV,37657,48834,5834,860
325,20250306,Events,41661,293479,6672,721
326,20240131,Events,30835,306703,19418,1457
327,20240511,Social,20542,286398,9674,806
328,20220815,TV,48542,162079,5082,508
329,20210917,TV,27146,421642,11330,1152
330,20250329,Events,44395,156908,16736,2359
331,20231016,TV,10231,206946,13746,1446
332,20220701,Events,11255,310564,7682,799
333,20210612,TV,15279,283646,18242,1630
334,20220628,TV,32703,189793,3922,495
335,20220413,TV,29795,152546,8621,1519
336,20220715,TV,22680,304077,11853,834
337,20240713,Digital,46995,62565,13655,2575
338,20230811,Social,39766,245714,18834,2118
339,20251026,Digital,31569,349069,5651,967
340,20251229,Events,13243,225429,13933,748
341,20240926,Events,30884,246304,5011,490
342,20220330,Digital,42387,168080,1296,137
343,20230808,TV,36057,270858,16710,2426
344,20230209,Events,29713,441127,11685,1123
345,20221015,Digital,44967,223273,19117,3771
346,20230522,Digital,34611,204038,5500,305
347,20210720,TV,48633,332501,1194,61
348,20240311,Social,21664,358682,8590,502
349,20251014,TV,18382,383942,9145,1771
350,20240820,Social,25755,203501,1712,125
351,20250205,Social,26711,430212,11594,1779
352,20211228,Social,31814,264390,17570,1157
353,20220827,Social,6169,300732,11552,738
354,20240610,Social,7322,57844,9054,1791
355,20221225,Social,46627,78004,16390,2326
356,20210529,TV,35572,184141,13490,1068
357,20240515,Events,26135,39392,7415,586
358,20230928,TV,14526,286971,8067,1080
359,20210605,Events,47831,369149,18545,1751
360,20231008,Digital,30293,42837,17518,2704
361,20240706,Digital,25151,150003,16261,1239
362,20241001,Social,38944,305008,1381,70
363,20210108,Digital,13329,476694,14419,1696
364,20220606,TV,15301,54806,17202,2890
365,20230309,Social,16693,351034,10720,912
366,20250711,Social,24248,326443,9139,1615
367,20210528,Events,11472,44923,3458,675
368,20240716,Digital,18665,34132,19266,2347
369,20240811,Events,11864,37563,8514,1388
370,20210817,Digital,5013,336864,14202,1942
371,20251121,TV,9166,466514,10407,1799
372,20240306,Events,14348,79106,10837,2087
373,20230429,TV,19538,54020,14337,2193
374,20240104,Events,37217,246570,2035,281
375,20211120,Events,12179,182823,11679,2037
376,20250813,Social,26647,191074,14998,920
377,20240227,TV,39713,390853,14008,848
378,20250826,Events,40480,316706,3744,642
379,20240704,Events,36441,208071,1367,261
380,20251116,Events,40868,269615,3021,186
381,20250823,Events,8659,114761,17592,1352
382,20241026,Digital,36779,370011,19057,3750
383,20210710,Events,30269,493779,3001,541
384,20230227,Social,24018,379254,14486,1195
385,20220222,Digital,5165,166290,18227,3099
386,20231028,Social,45943,19682,9940,935
387,20240207,Events,11947,293548,14467,1437
388,20250824,Social,19823,229318,2001,254
389,20250507,Social,18715,173030,17274,3334
390,20240317,TV,34161,442803,11662,727
391,20220510,TV,36326,269511,1637,155
392,20250918,Social,47281,400853,11027,900
393,20240812,Events,11893,410123,16115,2289
394,20230521,Social,29169,492326,15201,1036
395,20220209,TV,42067,396533,13896,1276
396,20251103,Events,16616,110484,17465,1994
397,20211212,TV,36213,166647,13718,2097
398,20220812,Digital,31359,176565,16375,2367
399,20240215,TV,46235,397753,9033,1432
400,20221214,Social,39281,424487,8133,737
401,20240601,Social,48115,384934,13081,1573
402,20250120,Social,13704,120580,16531,1444
403,20220513,TV,6005,248646,4175,260
404,20240814,Social,20917,400298,10661,1286
405,20241102,TV,38869,376050,19628,3607
406,20211118,Events,45501,36633,11787,2046
407,20251226,Social,12143,37964,17598,2073
408,20210212,Social,15960,106698,17667,3088
409,20220105,TV,24739,83467,18512,2463
410,20210323,TV,39076,122769,13592,1134
411,20250306,Digital,31035,239437,19683,3916
412,20250305,Digital,19738,264274,5859,771
413,20251229,Social,37108,465565,7220,1184
414,20230823,TV,32381,123931,8270,942
415,20221122,TV,22120,221542,8270,1447
416,20220912,Social,35841,11935,17438,2109
417,20220319,Digital,45668,442283,15531,1167
418,20230812,TV,22707,365100,7529,1493
419,20240619,Social,30661,169244,5585,823
420,20220328,TV,49792,176063,6952,1334
421,20231010,Events,14756,333782,18012,2534
422,20230626,Digital,23338,354745,8778,1484
423,20241010,Events,27221,198413,1041,101
424,20231215,Digital,21534,361719,10831,552
425,20250219,Events,5188,53068,14210,1598
426,20220824,Events,32386,21304,7738,1055
427,20250317,Digital,35485,286285,12125,1568
428,20230323,Digital,36522,106073,7450,1394
429,20210509,Social,30483,346138,19949,3887
430,20240522,Digital,31471,485750,12394,2058
431,20240316,Social,9543,351952,2066,184
432,20230324,Events,37467,116997,3581,415
433,20220424,Digital,42742,103207,2049,189
434,20220819,Digital,35502,232858,12668,1502
435,20211012,Digital,36453,37118,4317,542
436,20230402,Events,40013,237754,16679,3255
437,20240922,Digital,40850,415090,3392,560
438,20250429,Social,23326,348193,5023,365
439,20240206,TV,29428,46930,3674,671
440,20220731,Social,20596,449917,13020,1917
441,20241215,Social,12787,90765,19329,2731
442,20240413,Digital,16595,150200,2202,156
443,20210217,TV,31075,171216,6537,1163
444,20221005,Digital,8213,325777,18970,2514
445,20240219,Social,22830,436470,7483,981
446,20251224,Social,7572,252517,2031,242
447,20210412,Digital,16944,267076,18537,2450
448,20230921,Digital,19542,32289,4607,460
449,20220225,Digital,42598,26242,5145,362
450,20230916,Digital,48974,77133,14148,1672
451,20210513,TV,16547,381239,18106,3473
452,20211209,Events,12051,117921,15629,2595
453,20210901,Social,44614,21795,19250,2693
454,20240519,Events,46319,128246,5390,487
455,20220528,Digital,48876,318574,18300,2674
456,20250713,Events,40393,317794,14933,984
457,20210508,Events,42910,406500,13688,2310
458,20240625,Digital,28824,113842,7392,374
459,20220831,Digital,41820,424907,16338,2107
460,20220121,Social,39104,465635,13085,2204
461,20230807,Events,26563,165201,17024,2252
462,20230720,Social,15224,428377,8455,654
463,20220510,Social,17964,347336,12623,2487
464,20220903,Events,20302,309821,2554,418
465,20221204,Social,20735,236394,16362,2463
466,20230926,Events,24141,472627,2062,194
467,20210930,Social,47238,145907,19245,2322
468,20230409,Digital,24952,177341,6141,614
469,20210109,Digital,25311,265168,7000,985
470,20240407,Social,20699,100906,14571,944
471,20250710,Digital,11250,331788,12415,819
472,20250601,Digital,27503,80049,5596,722
473,20221119,Social,14008,207130,15006,1176
474,20220124,TV,12615,14359,18655,1153
475,20210304,Digital,19839,291264,18404,3135
476,20230726,Digital,9859,177374,9078,1731
477,20230110,Digital,43735,193492,8458,724
478,20231030,Digital,13907,425678,19601,1709
479,20250518,Digital,39751,323226,13711,2609
480,20221204,TV,32586,493810,6653,1025
481,20250721,Events,32960,68325,2258,356
482,20250518,Social,43590,14640,13850,1275
483,20231224,TV,5264,270181,10007,690
484,20240127,TV,25251,496765,4097,329
485,20250509,Digital,42154,398283,16028,848
486,20221111,Events,21243,257338,19594,3435
487,20230518,Events,48439,64327,12436,1913
488,20231116,TV,7957,284349,1417,189
489,20250330,TV,32051,150902,15685,2345
490,20240722,Events,49587,275820,6893,799
491,20230124,Social,14710,197782,1329,175
492,20240906,Events,35742,479611,19156,1115
493,20230620,Events,49111,291005,2809,308
494,20250716,Social,23440,211157,3806,664
495,20230112,Events,35855,37800,9524,598
496,20231024,Social,18852,191622,3149,548
497,20251006,Digital,20784,58756,6138,751
498,20210117,TV,21778,20657,11989,1996
499,20220622,Social,40950,218591,2499,360
500,20230524,Events,41659,315785,6521,728
501,20251003,TV,32236,48041,10439,1497
502,20230323,Events,28447,163220,10849,1023
503,20251204,TV,30626,335013,14470,2429
504,20240915,TV,40246,333857,6014,991
505,20230221,Digital,41605,165544,6939,393
506,20241017,Digital,47213,143406,14613,1282
507,20250606,TV,46646,56396,6691,826
508,20211111,Events,23480,64348,8719,446
509,20250725,TV,49291,60110,13407,2030
510,20230202,Social,14348,434724,6676,446
511,20240424,Events,43076,258752,4557,662
512,20251201,Events,12295,310634,7332,1034
513,20210515,Events,47892,216073,18925,1350
514,20221223,Events,5190,456388,5831,792
515,20220619,TV,14416,153067,8451,1314
516,20230316,Social,25253,392189,12875,1805
517,20210214,Events,6463,32325,8385,911
518,20251125,Digital,43560,240074,1842,208
519,20251119,Events,15278,499141,16975,2219
520,20210425,Events,29029,490656,1108,215
521,20240812,Events,44357,480258,4365,819
522,20211222,Social,33923,123914,8510,884
523,20251122,Digital,33345,17363,2604,288
524,20210202,Social,48413,42549,4029,716
525,20210808,TV,30362,477395,3048,486
526,20220706,TV,28337,180711,5272,295
527,20210509,TV,47051,46665,6274,543
528,20250724,TV,32912,326393,14997,1431
529,20231026,Digital,35041,37288,3168,243
530,20221015,TV,37942,234299,4911,893
531,20231203,TV,24219,90836,14433,2309
532,20211115,Digital,43577,191793,9402,479
533,20250512,Social,8448,46025,19895,1730
534,20230801,Social,38688,91007,8281,805
535,20220428,TV,14088,146651,14982,2622
536,20220728,Social,22176,165692,9893,1143
537,20240805,TV,13671,353822,4236,756
538,20250125,Social,9272,62575,10239,557
539,20220528,Social,31895,112175,17324,1479
540,20220215,TV,32929,289357,13501,1612
541,20231230,TV,13996,135099,1551,278
542,20240708,Social,16884,209627,1853,327
543,20240910,Digital,31135,279918,1586,292
544,20220515,Events,46582,211253,13065,1436
545,20230306,TV,39839,153155,15313,792
546,20210608,Digital,15779,375302,19994,2006
547,20210621,Digital,30587,470460,10300,1973
548,20210913,Social,10913,431778,6481,604
549,20210805,Events,15281,219723,15666,1416
550,20251018,Digital,47318,305505,3312,609
551,20250903,Events,8527,144226,18487,1553
552,20210916,TV,38477,185467,1263,100
553,20230122,Digital,15079,160625,9082,1393
554,20250517,Events,45854,403810,15908,1647
555,20240826,TV,6973,478052,17479,1298
556,20251007,Events,16939,468506,12001,798
557,20240101,Events,16005,297341,18586,3559
558,20210419,Events,38354,440320,6153,441
559,20240208,Digital,11704,223239,9892,1660
560,20230412,TV,41702,307622,9810,818
561,20250425,Social,19147,207034,2699,245
562,20250116,Digital,28296,356122,4043,658
563,20211016,TV,34286,166997,18871,2384
564,20250128,Social,34765,150622,11890,2214
565,20221118,Social,10224,255418,6261,947
566,20210308,Events,21808,47731,2084,308
567,20220912,Social,27805,348345,18602,2070
568,20220112,TV,24475,488653,17545,2651
569,20240716,Events,38552,132367,16952,1103
570,20210901,TV,16493,353198,2294,430
571,20210903,Digital,32442,243856,17861,2708
572,20230615,Social,45354,32023,2254,382
573,20251218,Digital,17857,139883,8794,1181
574,20230605,Social,18693,248982,11002,1758
575,20240329,TV,32535,186339,19731,2262
576,20211217,Social,14583,339599,10726,1402
577,20210319,Digital,23836,126627,4993,740
578,20240819,Digital,13702,498740,4329,593
579,20240202,TV,37220,171267,12632,786
580,20211111,Social,46399,261848,10418,1737
581,20220220,Social,22333,157633,17466,1202
582,20250503,Events,8924,27533,7791,1546
583,20241110,Digital,17046,177995,12567,2187
584,20230111,Digital,5316,150987,13814,2005
585,20240510,Social,42803,444120,10352,1550
586,20230528,Events,44471,87142,7167,461
587,20230928,TV,12781,266184,9580,892
588,20240604,TV,35335,123319,5691,395
589,20230211,Social,23171,468121,18982,3455
590,20220317,TV,25358,333994,11084,557
591,20250828,TV,29557,324186,11980,929
592,20231021,TV,26419,66178,16312,2547
593,20240129,TV,7103,135271,16407,1156
594,20250530,Digital,40832,135446,5072,692
595,20210513,Digital,32458,97534,10038,1102
596,20220915,Digital,16079,307982,16378,905
597,20210618,Events,20445,487648,10863,1684
598,20220116,Events,40675,334586,6006,396
599,20211104,Digital,27619,472694,3311,456
600,20251205,Digital,47629,177918,14434,2447
601,20220825,Events,21284,351776,17140,882
602,20231231,TV,38925,265383,19739,2478
603,20210623,Digital,28282,433205,9381,845
604,20240329,TV,41220,175139,17390,2280
605,20240604,TV,12513,477765,4870,451
606,20220721,Social,34827,288559,15689,1201
607,20211003,Events,12392,415682,13569,1761
608,20220807,Digital,28011,142188,8741,921
609,20220102,TV,38203,138842,19860,1988
610,20221210,Digital,14484,103786,1173,134
611,20240831,Digital,41136,205182,16116,888
612,20230624,Digital,26433,164668,12861,818
613,20211009,TV,25683,465799,19234,1134
614,20220327,Digital,21344,50607,13292,1157
615,20220808,TV,14345,310395,17245,2349
616,20210404,Events,28779,259938,16992,2406
617,20240425,TV,19688,120002,6622,836
618,20210824,Digital,23281,304728,3713,386
619,20210404,TV,11260,102554,5588,536
620,20251227,TV,13912,436269,17296,1380
621,20240605,Events,13277,400352,10288,787
622,20211122,TV,22546,406146,6920,777
623,20250118,Digital,46000,55576,8186,1376
624,20231105,Digital,17286,60546,12166,920
625,20230616,TV,49309,78145,19798,3557
626,20230128,Social,43753,107295,14387,2256
627,20250330,Social,40036,369386,4681,687
628,20241030,Social,28715,180063,18897,3033
629,20251122,Events,17094,469549,9036,1264
630,20221223,TV,48784,320421,19140,2754
631,20250914,Events,19073,443066,11991,2133
632,20240824,Events,36915,273494,14577,1582
633,20220318,Social,21263,42265,1972,336
634,20230626,Social,16328,306342,2080,329
635,20241122,TV,48008,311603,14618,1763
636,20220804,Digital,47544,94208,6056,827
637,20240623,Events,43003,100424,6364,1138
638,20240815,Events,43292,66963,6169,325
639,20231125,Events,48439,99021,10590,1463
640,20210408,Events,49294,44374,10455,788
641,20230420,Digital,13776,269432,12011,1812
642,20220213,TV,32514,316589,13084,1502
643,20230205,Events,29136,92003,5839,958
644,20250927,Digital,27599,38841,15200,2748
645,20250415,Social,46046,335692,10212,894
646,20240317,Social,34880,474471,19447,3617
647,20241017,Digital,40742,20298,14780,944
648,20210608,Events,31503,107242,13501,1660
649,20210907,Digital,12443,240664,4033,599
650,20231219,Social,45095,96008,7304,1057
651,20220817,Digital,42603,395040,11544,2277
652,20231111,Social,10896,177400,16249,3132
653,20220903,Events,36030,302962,19123,2290
654,20210729,Digital,47955,161493,9002,1794
655,20240722,Social,10295,186050,13472,2447
656,20250128,Events,18001,425715,13220,874
657,20250930,Digital,8527,197735,15857,2343
658,20220403,Digital,5014,481602,10792,705
659,20221129,Digital,44144,256946,5587,644
660,20230501,TV,10656,96954,17635,3488
661,20251222,Social,38248,85808,2533,360
662,20210813,Social,29509,439002,13587,1924
663,20240830,Social,38191,407695,9605,1754
664,20251022,Social,6439,69526,18560,3168
665,20210827,TV,47508,150203,2367,228
666,20240311,Events,29995,459158,12846,759
667,20230323,Digital,31483,319444,7045,472
668,20210413,Social,39235,326779,6932,1336
