Incident_ID,Date_ID,Region_ID,Crime_Type,Severity,Resolved_Flag
96,20241031,4,Cybercrime,High,0
97,20240508,1,Robbery,Low,1
98,20250709,2,Cybercrime,Medium,1
99,20240311,2,Assault,High,1
100,20250120,6,Cybercrime,High,1
101,20221205,1,Robbery,Medium,0
102,20230610,1,Robbery,Low,1
103,20230701,1,Cybercrime,High,1
104,20240906,4,Cybercrime,Medium,1
105,20230908,1,Assault,High,1
106,20220617,4,Assault,Low,1
107,20210714,4,Assault,Low,1
108,20230114,1,Robbery,Low,0
109,20230313,5,Assault,Low,0
110,20220328,1,Cybercrime,Low,1
111,20251204,2,Cybercrime,High,1
112,20210209,5,Robbery,Low,1
113,20250409,3,Assault,High,1
114,20211229,4,Robbery,High,1
115,20221102,2,Cybercrime,Medium,1
116,20230715,4,Assault,High,0
117,20230421,4,Assault,High,0
118,20210109,5,Cybercrime,High,1
119,20230217,1,Cybercrime,High,0
120,20230306,4,Assault,High,0
121,20240622,4,Cybercrime,Low,0
122,20220318,1,Assault,Low,1
123,20240307,4,Robbery,Medium,1
124,20250720,1,Robbery,High,1
125,20251112,1,Assault,Low,1
126,20230813,2,Cybercrime,Medium,1
127,20231106,5,Cybercrime,Medium,1
128,20220626,2,Robbery,Low,0
129,20211021,5,Robbery,Medium,0
130,20251016,2,Assault,High,0
131,20240905,1,Cybercrime,Low,1
132,20220204,1,Cybercrime,Medium,1
133,20210622,6,Cybercrime,High,0
134,20230331,1,Cybercrime,High,1
135,20220803,4,Robbery,High,1
136,20220102,1,Assault,Low,0
137,20220129,5,Cybercrime,High,1
138,20240116,1,Assault,Low,1
139,20230827,4,Assault,High,0
140,20230110,1,Assault,Low,1
141,20230209,4,Assault,Low,1
142,20241108,5,Cybercrime,Medium,1
143,20240627,1,Robbery,Low,0
144,20221027,4,Assault,High,1
145,20231210,3,Assault,High,1
146,20211030,1,Robbery,Medium,1
147,20210912,1,Cybercrime,Low,0
148,20210830,6,Robbery,Medium,1
149,20250615,3,Robbery,Low,1
150,20251220,4,Cybercrime,Medium,1
151,20250810,5,Cybercrime,High,1
152,20240314,5,Assault,Medium,0
153,20240323,1,Cybercrime,High,1
154,20221015,4,Cybercrime,Low,0
155,20240409,2,Cybercrime,Low,1
156,20250601,1,Cybercrime,Medium,1
157,20220415,7,Cybercrime,High,0
158,20250517,6,Robbery,Low,0
159,20230814,7,Assault,Medium,0
160,20220813,5,Cybercrime,Medium,0
161,20230828,1,Robbery,Medium,1
162,20231127,7,Assault,High,1
163,20211012,4,Robbery,Medium,1
164,20240722,4,Assault,Medium,1
165,20211010,5,Cybercrime,Medium,1
166,20210612,1,Assault,High,0
167,20250329,1,Assault,High,0
168,20240410,1,Cybercrime,Medium,1
169,20230126,1,Assault,High,0
170,20240713,6,Robbery,Low,1
171,20220801,4,Assault,Low,0
172,20230828,7,Assault,Low,1
173,20250104,1,Robbery,High,1
174,20250311,7,Robbery,High,1
175,20230623,4,Cybercrime,Medium,1
176,20210204,1,Assault,High,0
177,20211110,1,Assault,Low,1
178,20230826,2,Robbery,Low,1
179,20221106,1,Cybercrime,Medium,1
180,20220425,7,Assault,Low,0
181,20220225,1,Cybercrime,Medium,1
182,20230103,1,Assault,Low,0
183,20230923,4,Assault,Low,1
184,20250528,2,Cybercrime,High,0
185,20230830,7,Cybercrime,Medium,0
186,20250208,1,Cybercrime,Low,0
187,20250609,5,Robbery,Low,1
188,20250907,1,Robbery,High,1
189,20210209,4,Cybercrime,Medium,1
190,20250825,2,Robbery,High,1
191,20220723,5,Cybercrime,Medium,0
192,20250804,7,Assault,Medium,1
193,20211108,2,Assault,High,0
194,20220511,5,Assault,Low,1
195,20240115,6,Cybercrime,High,1
196,20221027,2,Cybercrime,High,1
197,20251220,4,Cybercrime,Low,1
198,20220913,1,Assault,High,0
199,20240210,5,Assault,Medium,0
200,20221003,5,Robbery,Medium,0
201,20251009,3,Assault,High,1
202,20230205,6,Assault,Medium,1
203,20240903,1,Cybercrime,High,0
204,20210403,5,Robbery,Low,0
205,20220114,2,Cybercrime,Medium,1
206,20250816,7,Cybercrime,Medium,1
207,20231003,7,Cybercrime,Low,1
208,20230528,4,Assault,High,1
209,20241101,2,Assault,Medium,0
210,20231116,1,Assault,Medium,1
211,20240216,1,Cybercrime,Medium,1
212,20250321,1,Assault,Low,1
213,20210218,7,Cybercrime,High,1
214,20230420,6,Robbery,High,0
215,20250507,2,Assault,High,1
216,20210829,5,Assault,High,1
217,20251207,1,Robbery,Medium,1
218,20220827,1,Robbery,Low,1
219,20220714,3,Robbery,High,1
220,20230830,2,Assault,Low,1
221,20241026,2,Assault,Medium,0
222,20250104,5,Assault,Medium,1
223,20250424,1,Cybercrime,Low,1
224,20211205,6,Cybercrime,Low,1
225,20230807,1,Cybercrime,Low,1
226,20240615,1,Cybercrime,Low,1
227,20220925,1,Assault,Medium,1
228,20211005,5,Assault,Low,1
229,20230823,1,Assault,Medium,1
230,20240502,6,Assault,Low,0
231,20210127,1,Assault,Low,1
232,20250630,4,Robbery,Medium,0
233,20240714,7,Cybercrime,Medium,1
234,20230113,7,Cybercrime,Medium,1
235,20230815,1,Robbery,Low,1
236,20220507,1,Cybercrime,Medium,1
237,20210128,2,Assault,Medium,1
238,20240425,6,Assault,High,0
239,20250904,5,Assault,Medium,1
240,20241209,4,Assault,High,0
241,20211013,1,Assault,High,1
242,20250925,1,Assault,High,1
243,20250801,6,Cybercrime,Low,1
244,20210706,4,Assault,High,1
245,20220809,4,Assault,Low,0
246,20240105,1,Cybercrime,High,1
247,20210401,1,Assault,High,1
248,20220608,1,Assault,Medium,0
249,20240305,4,Robbery,Low,0
250,20230310,4,Cybercrime,Low,0
251,20220805,1,Cybercrime,High,1
252,20241124,5,Cybercrime,Medium,1
253,20250721,1,Assault,Medium,1
254,20210704,5,Robbery,High,0
255,20240215,1,Assault,Low,1
256,20250118,1,Assault,Low,1
257,20230330,1,Cybercrime,Low,0
258,20211028,1,Assault,High,0
259,20210226,1,Assault,Low,1
260,20230610,3,Cybercrime,Medium,1
261,20240311,3,Cybercrime,Medium,1
262,20230730,7,Assault,Low,1
263,20210705,2,Robbery,Medium,0
264,20211007,6,Assault,High,0
265,20240326,1,Robbery,High,0
266,20240315,2,Cybercrime,Medium,0
267,20210214,5,Robbery,High,0
268,20240801,3,Cybercrime,High,1
269,20240708,1,Robbery,High,0
270,20240702,1,Robbery,Low,0
271,20210304,1,Cybercrime,Low,0
272,20211019,2,Assault,High,1
273,20240628,6,Assault,Medium,1
274,20210128,3,Robbery,Low,1
275,20230203,6,Assault,Medium,1
276,20210207,1,Assault,High,1
277,20230830,3,Robbery,Medium,1
278,20220913,6,Robbery,Low,0
279,20240412,2,Cybercrime,Medium,1
280,20220818,1,Assault,Low,0
281,20250116,1,Robbery,Medium,1
282,20230113,1,Robbery,Medium,1
283,20210717,1,Cybercrime,Low,1
284,20240522,1,Robbery,Low,1
285,20240107,5,Robbery,High,1
286,20250321,1,Assault,High,1
287,20230214,1,Cybercrime,Low,1
288,20250117,4,Cybercrime,Medium,1
289,20250202,6,Robbery,Medium,1
290,20230418,5,Cybercrime,Medium,0
291,20250601,1,Robbery,Low,0
292,20210629,6,Robbery,Medium,1
293,20251231,6,Robbery,Medium,1
294,20250704,4,Robbery,Medium,1
295,20221217,1,Assault,High,0
296,20241022,3,Cybercrime,Low,0
297,20210717,1,Assault,High,1
298,20220530,1,Cybercrime,Low,0
299,20250215,7,Assault,Low,1
300,20230921,1,Robbery,High,1
301,20220607,1,Robbery,High,1
302,20211210,4,Robbery,Low,1
303,20240222,1,Assault,High,1
304,20211130,6,Cybercrime,High,1
305,20220711,7,Robbery,Low,1
306,20221121,1,Robbery,Medium,1
307,20241212,6,Assault,High,1
308,20241202,4,Assault,High,1
309,20241001,1,Cybercrime,Medium,1
310,20211105,3,Cybercrime,Medium,1
311,20220626,7,Robbery,Low,1
312,20210507,5,Robbery,High,0
313,20250324,7,Robbery,Low,0
314,20221206,7,Robbery,High,0
315,20220428,3,Robbery,Low,0
316,20240823,1,Assault,High,0
317,20230109,4,Robbery,Medium,1
318,20230103,5,Cybercrime,Low,1
319,20210809,4,Assault,Medium,1
320,20210410,3,Cybercrime,Low,1
321,20240823,6,Cybercrime,Medium,1
322,20210213,1,Robbery,Medium,1
323,20230801,2,Robbery,Medium,1
324,20240928,7,Cybercrime,High,1
325,20250113,2,Robbery,Medium,0
326,20220606,6,Robbery,Low,1
327,20250310,1,Assault,Medium,1
328,20230804,1,Robbery,Medium,0
329,20210124,1,Cybercrime,High,0
330,20220307,1,Assault,Low,1
331,20210520,2,Cybercrime,Medium,0
332,20210408,1,Cybercrime,High,1
333,20230424,2,Assault,Medium,1
334,20230708,1,Assault,Medium,0
335,20250627,3,Cybercrime,Medium,1
336,20240617,2,Cybercrime,High,1
337,20230207,1,Robbery,High,1
338,20241215,1,Robbery,Low,1
339,20250926,3,Assault,Medium,1
340,20250427,7,Robbery,Low,1
341,20210414,7,Assault,High,1
342,20220331,3,Assault,Medium,1
343,20220618,2,Robbery,Medium,1
344,20220210,3,Assault,High,1
345,20221024,2,Robbery,High,0
346,20211002,2,Robbery,Medium,1
347,20240926,1,Robbery,Medium,1
348,20240124,5,Assault,High,1
349,20251231,2,Cybercrime,Medium,1
350,20251219,5,Cybercrime,Low,1
351,20230109,3,Cybercrime,High,1
352,20230725,6,Assault,Low,0
353,20250824,1,Cybercrime,Low,1
354,20230815,7,Cybercrime,Low,1
355,20240718,2,Robbery,High,1
356,20211011,1,Cybercrime,High,1
357,20220903,1,Cybercrime,Medium,1
358,20230521,2,Cybercrime,Low,1
359,20240102,4,Cybercrime,High,1
360,20230809,4,Assault,Low,0
361,20241201,4,Assault,High,1
362,20240605,1,Robbery,Medium,1
363,20230924,7,Cybercrime,High,1
364,20211120,7,Robbery,High,1
365,20240802,1,Cybercrime,Medium,0
366,20240325,5,Assault,High,1
367,20240816,1,Cybercrime,Medium,1
368,20210610,2,Assault,High,1
369,20250413,1,Cybercrime,Low,0
370,20221111,1,Robbery,Medium,1
371,20230423,1,Assault,Medium,1
372,20220714,1,Robbery,Medium,1
373,20211026,4,Cybercrime,Low,0
374,20210614,4,Assault,Medium,1
375,20230926,1,Assault,Low,1
376,20230817,2,Assault,Medium,0
377,20230316,5,Cybercrime,High,0
378,20240315,4,Cybercrime,Low,0
379,20210810,3,Robbery,High,1
380,20230502,7,Robbery,Medium,1
381,20251209,1,Cybercrime,Medium,1
382,20211220,4,Cybercrime,Low,0
383,20220525,1,Robbery,Low,0
384,20220905,1,Robbery,Low,1
385,20240122,1,Cybercrime,Low,1
386,20230717,6,Assault,Low,1
387,20250613,1,Cybercrime,Low,0
388,20251128,1,Robbery,Low,1
389,20240219,1,Cybercrime,Low,1
390,20220227,1,Cybercrime,Low,1
391,20211006,1,Assault,Medium,1
392,20210519,3,Cybercrime,High,0
393,20231224,1,Robbery,High,0
394,20230218,6,Robbery,Medium,0
395,20250105,1,Cybercrime,Low,1
396,20250723,5,Robbery,Medium,0
397,20221011,2,Cybercrime,High,1
398,20241201,7,Cybercrime,Low,1
399,20230919,1,Robbery,Medium,1
400,20220323,5,Cybercrime,Medium,1
401,20230723,1,Assault,Medium,0
402,20230221,2,Robbery,Low,1
403,20210615,6,Robbery,Low,1
404,20241116,1,Cybercrime,Medium,1
405,20220829,3,Cybercrime,Low,1
406,20210413,1,Robbery,High,1
407,20240628,5,Cybercrime,High,1
408,20250326,1,Robbery,Low,1
409,20250815,6,Robbery,Low,1
410,20230707,6,Assault,Medium,0
411,20230101,1,Robbery,High,0
412,20211102,6,Robbery,Medium,1
413,20230218,5,Assault,Low,1
414,20220618,1,Robbery,High,0
415,20210923,3,Assault,Low,0
416,20230913,4,Cybercrime,Low,1
417,20241207,2,Robbery,Low,0
418,20240122,1,Robbery,Medium,0
419,20241005,1,Cybercrime,Medium,0
420,20240904,1,Robbery,High,1
421,20211024,7,Assault,High,1
422,20210426,1,Cybercrime,Low,1
423,20240924,1,Robbery,Medium,0
424,20221203,5,Cybercrime,Medium,1
425,20241116,7,Cybercrime,Low,1
426,20240613,3,Cybercrime,High,1
427,20230401,7,Robbery,Medium,1
428,20220709,1,Robbery,Medium,0
429,20220419,5,Cybercrime,High,1
430,20210729,1,Cybercrime,Medium,1
431,20231119,3,Robbery,Low,1
432,20220615,3,Assault,Low,1
433,20220107,4,Assault,High,0
434,20220602,2,Cybercrime,High,1
435,20220705,3,Cybercrime,High,0
436,20231108,5,Cybercrime,Medium,1
437,20220618,1,Robbery,Medium,1
438,20220827,2,Assault,Medium,1
439,20221202,1,Robbery,Low,0
440,20210128,5,Cybercrime,Low,1
441,20211130,7,Cybercrime,High,1
442,20220315,3,Assault,Low,1
443,20240113,6,Cybercrime,Medium,0
444,20221113,1,Assault,High,0
445,20220303,4,Robbery,Low,0
446,20220517,1,Cybercrime,Medium,1
447,20240717,2,Cybercrime,Low,1
448,20210806,1,Robbery,High,1
449,20251205,1,Robbery,Medium,1
450,20250716,1,Robbery,High,1
451,20250302,1,Cybercrime,Medium,1
452,20250211,7,Cybercrime,Medium,0
453,20211008,7,Cybercrime,Low,0
454,20230323,1,Assault,Low,0
455,20230414,1,Assault,Medium,0
456,20230823,1,Robbery,Medium,0
457,20251129,7,Cybercrime,Medium,1
458,20250805,5,Robbery,Low,1
459,20251018,1,Cybercrime,Low,0
460,20220505,4,Robbery,Medium,1
461,20220531,1,Robbery,Low,1
462,20240214,3,Cybercrime,Low,1
463,20230228,1,Robbery,High,1
464,20241130,2,Cybercrime,High,1
465,20220106,1,Assault,High,1
466,20240724,2,Cybercrime,High,0
467,20220307,4,Assault,High,1
468,20240102,1,Assault,Low,1
469,20240208,1,Assault,Low,1
470,20231218,2,Cybercrime,Low,1
471,20241212,4,Assault,Medium,1
472,20210116,5,Assault,Low,1
473,20210904,1,Robbery,Medium,0
474,20230427,1,Cybercrime,Low,1
475,20221111,1,Robbery,Medium,1
476,20230413,1,Cybercrime,High,1
477,20210226,5,Cybercrime,High,1
478,20250616,6,Robbery,Medium,0
479,20210814,1,Robbery,High,1
480,20230618,1,Cybercrime,Medium,1
481,20230701,4,Robbery,Medium,1
482,20250113,2,Assault,Medium,1
483,20230725,3,Robbery,High,1
484,20210718,2,Cybercrime,Medium,1
485,20230711,1,Cybercrime,Medium,1
486,20250508,1,Assault,Low,1
487,20230812,1,Cybercrime,Medium,1
488,20230809,5,Robbery,High,0
489,20241126,2,Robbery,High,1
490,20240501,7,Robbery,High,1
491,20210805,3,Assault,Medium,0
492,20210523,1,Robbery,High,1
493,20250115,3,Robbery,Medium,1
494,20250918,1,Robbery,Medium,1
495,20240601,1,Assault,Medium,1
496,20210309,1,Assault,Medium,1
497,20231014,7,Cybercrime,Medium,1
498,20240905,4,Robbery,High,1
499,20211020,1,Cybercrime,High,0
500,20220323,5,Cybercrime,Low,1
501,20241025,4,Cybercrime,Low,0
502,20230320,1,Cybercrime,High,1
503,20250601,1,Robbery,High,1
504,20210829,4,Assault,High,1
505,20240212,1,Cybercrime,High,0
506,20220914,1,Assault,Medium,0
507,20230608,6,Assault,Medium,1
508,20240403,1,Cybercrime,Medium,0
509,20211006,1,Cybercrime,Low,0
510,20230916,1,Assault,High,1
511,20240402,4,Robbery,Medium,1
512,20250603,1,Cybercrime,High,1
513,20250607,7,Robbery,Medium,1
514,20241219,3,Robbery,Medium,1
515,20220930,1,Cybercrime,Low,1
516,20231008,1,Robbery,Medium,1
517,20220805,5,Robbery,Medium,1
518,20230409,7,Cybercrime,Medium,1
519,20240321,1,Cybercrime,Medium,1
520,20231124,6,Assault,Low,1
521,20250531,2,Robbery,Medium,1
522,20250414,1,Assault,Low,1
523,20250331,1,Robbery,Medium,1
524,20240415,4,Assault,Medium,1
525,20241105,6,Robbery,High,1
526,20250920,2,Cybercrime,Low,1
527,20240421,6,Assault,High,1
528,20220428,1,Cybercrime,High,1
529,20211103,1,Cybercrime,High,0
530,20250225,1,Robbery,Low,0
531,20210504,2,Assault,High,1
532,20220930,7,Cybercrime,High,1
533,20230628,1,Assault,Medium,0
534,20250718,1,Robbery,Medium,1
535,20211109,5,Cybercrime,Low,0
536,20230502,2,Cybercrime,Low,1
537,20241221,2,Cybercrime,High,1
538,20230202,5,Robbery,Low,1
539,20241004,2,Assault,High,0
540,20231218,5,Robbery,Medium,1
541,20230114,7,Assault,High,0
542,20210130,4,Assault,Low,1
543,20240828,5,Assault,Low,0
544,20211121,1,Cybercrime,Low,0
545,20231130,4,Robbery,Low,1
546,20230913,1,Robbery,Medium,0
547,20230831,7,Assault,Low,1
548,20220313,6,Assault,High,1
549,20210216,1,Assault,High,1
550,20220307,2,Cybercrime,High,1
551,20250302,1,Assault,Medium,0
552,20220627,6,Cybercrime,Medium,1
553,20240225,7,Assault,High,1
554,20230102,2,Cybercrime,Medium,1
555,20240220,1,Assault,High,1
556,20250115,5,Robbery,High,1
557,20220802,2,Robbery,Low,1
558,20210127,3,Assault,Medium,1
559,20210109,4,Assault,Medium,1
560,20221119,5,Cybercrime,High,1
561,20240307,7,Assault,Low,0
562,20241209,3,Cybercrime,Medium,1
563,20230405,1,Cybercrime,Low,0
564,20220630,6,Cybercrime,Medium,1
565,20230307,1,Cybercrime,High,1
566,20240309,1,Cybercrime,Medium,1
567,20230212,5,Cybercrime,High,1
568,20220325,1,Robbery,Medium,1
569,20230623,1,Robbery,High,1
570,20221115,1,Assault,High,1
571,20230531,4,Robbery,Low,0
572,20220214,5,Robbery,High,1
573,20240416,6,Robbery,Low,1
574,20240229,2,Assault,Low,1
575,20210629,1,Robbery,High,1
576,20210713,1,Robbery,High,1
577,20230615,1,Assault,High,0
578,20220726,5,Robbery,Low,0
579,20230523,1,Robbery,High,1
580,20220312,1,Robbery,Low,0
581,20250322,2,Robbery,High,0
582,20220428,6,Cybercrime,Medium,1
583,20230415,3,Cybercrime,Low,1
584,20230411,1,Assault,Low,0
585,20250124,1,Assault,Low,1
586,20210803,1,Robbery,Medium,1
587,20231002,4,Robbery,Medium,1
588,20231214,1,Assault,Medium,1
589,20221121,3,Assault,High,1
590,20230811,1,Assault,Low,1
591,20210317,1,Assault,High,1
592,20230716,4,Robbery,Low,0
593,20240601,2,Cybercrime,High,1
594,20210216,1,Cybercrime,Low,0
595,20240718,3,Cybercrime,Low,1
596,20250725,1,Assault,Medium,1
597,20211012,1,Robbery,Medium,0
598,20240619,1,Robbery,Medium,0
599,20240830,5,Cybercrime,Medium,0
600,20220516,1,Robbery,Low,0
601,20240910,6,Assault,Medium,1
602,20240331,2,Robbery,High,1
603,20220913,1,Cybercrime,Low,1
604,20210630,1,Cybercrime,Low,0
605,20210914,1,Assault,High,0
606,20230917,6,Cybercrime,High,1
607,20230823,7,Robbery,High,1
608,20250820,4,Cybercrime,High,1
609,20250507,4,Cybercrime,High,1
610,20241208,7,Assault,High,1
611,20211215,1,Robbery,Low,0
612,20240619,1,Assault,Low,1
613,20231231,6,Cybercrime,High,1
614,20220709,3,Cybercrime,Low,1
615,20251009,4,Robbery,Medium,1
616,20220315,1,Robbery,Medium,1
617,20230509,1,Assault,Low,1
618,20210622,2,Assault,Medium,1
619,20230401,3,Cybercrime,Medium,1
620,20220924,2,Robbery,High,0
621,20250819,3,Assault,Low,1
622,20240111,3,Assault,High,1
623,20230106,1,Robbery,Low,1
624,20220317,1,Robbery,Low,0
625,20210625,1,Assault,Low,1
626,20210603,7,Assault,Medium,0
627,20231204,3,Cybercrime,Low,1
628,20251002,1,Cybercrime,Medium,1
629,20230219,4,Cybercrime,Medium,1
630,20240925,1,Assault,High,0
631,20221218,4,Cybercrime,Low,0
632,20240920,4,Robbery,Medium,1
633,20230418,5,Assault,High,1
634,20210412,7,Assault,Medium,1
635,20220521,2,Assault,High,1
636,20250730,1,Robbery,Medium,0
637,20250418,4,Robbery,High,0
638,20211210,1,Robbery,Low,1
639,20211211,1,Cybercrime,Low,0
640,20240711,6,Assault,Medium,1
641,20240208,1,Cybercrime,Low,1
642,20221201,2,Robbery,High,1
643,20250623,1,Cybercrime,Medium,1
644,20250112,1,Cybercrime,High,1
645,20210504,3,Robbery,Low,1
646,20230518,6,Robbery,High,1
647,20251207,3,Cybercrime,Medium,1
648,20230613,2,Cybercrime,Low,0
649,20250123,7,Robbery,Low,1
650,20231230,7,Assault,Medium,0
651,20220331,1,Assault,High,1
652,20230111,1,Assault,High,1
653,20231224,1,Assault,High,1
654,20250417,3,Assault,Medium,1
655,20220811,1,Assault,High,1
656,20251211,6,Cybercrime,Medium,1
657,20241205,1,Assault,High,1
658,20221105,5,Cybercrime,Medium,1
659,20210721,5,Robbery,High,1
660,20251207,1,Assault,Medium,1
661,20251102,5,Assault,High,1
662,20230510,1,Assault,High,0
663,20210418,4,Assault,High,1
664,20221125,4,Assault,Low,1
665,20220510,5,Robbery,High,1
666,20220818,5,Assault,High,0
667,20220516,2,Assault,High,1
668,20231103,1,Robbery,Low,1
669,20220914,7,Robbery,Medium,0
670,20210831,7,Cybercrime,High,1
671,20221231,4,Assault,Low,1
672,20231104,1,Cybercrime,Medium,1
673,20230607,1,Cybercrime,High,1
674,20211022,3,Robbery,Low,1
675,20211107,1,Robbery,Low,1
676,20250514,2,Cybercrime,High,1
677,20211106,1,Assault,Low,1
678,20230822,1,Assault,High,0
679,20231217,2,Assault,Medium,0
680,20240528,6,Cybercrime,Medium,1
681,20250209,1,Assault,Low,0
682,20220806,3,Robbery,Medium,1
683,20250919,5,Cybercrime,Low,1
684,20240413,1,Robbery,High,1
685,20230226,3,Assault,Low,0
686,20220109,7,Cybercrime,High,1
687,20230805,3,Assault,Medium,1
688,20210921,1,Assault,High,1
689,20221019,1,Assault,Medium,1
690,20240617,4,Assault,High,1
691,20220205,4,Assault,Low,1
692,20220606,1,Cybercrime,High,1
693,20251024,1,Robbery,Medium,0
694,20230320,2,Robbery,Medium,0
695,20230918,7,Cybercrime,Low,0
696,20220412,2,Robbery,High,1
697,20210202,1,Cybercrime,High,1
698,20220402,5,Robbery,High,1
699,20240421,1,Assault,Low,1
700,20240308,2,Assault,Medium,0
701,20220103,1,Cybercrime,Medium,0
702,20240329,1,Assault,Medium,1
703,20250713,1,Cybercrime,High,1
704,20231026,1,Assault,High,1
705,20231019,3,Cybercrime,Medium,1
706,20230305,3,Cybercrime,Medium,1
707,20241111,5,Robbery,Low,0
708,20230623,6,Assault,High,1
709,20211010,5,Assault,Medium,1
710,20251013,1,Assault,Medium,1
711,20220202,7,Cybercrime,Medium,1
712,20251009,2,Cybercrime,Low,1
713,20211205,1,Robbery,High,1
714,20230922,1,Robbery,Medium,1
715,20220627,4,Cybercrime,Low,0
716,20240906,7,Cybercrime,High,1
717,20220623,1,Robbery,High,0
718,20211012,3,Robbery,Low,1
719,20241020,7,Cybercrime,Medium,1
720,20240108,1,Cybercrime,Low,1
721,20240110,2,Assault,Low,1
722,20210221,5,Assault,Low,1
723,20230515,6,Robbery,Medium,1
724,20241227,7,Robbery,Low,1
725,20210711,1,Robbery,Low,0
726,20241104,4,Cybercrime,High,1
727,20230422,3,Assault,High,1
728,20240602,1,Cybercrime,Medium,0
729,20220707,4,Cybercrime,Medium,1
730,20210926,6,Assault,Medium,0
731,20230222,6,Cybercrime,High,1
732,20250731,4,Assault,High,1
733,20240425,4,Cybercrime,High,1
734,20230328,1,Cybercrime,High,1
735,20211119,7,Cybercrime,High,1
736,20230711,1,Cybercrime,High,1
737,20210225,1,Assault,Low,1
738,20230320,1,Assault,Low,1
739,20231215,5,Robbery,Medium,1
740,20220501,2,Cybercrime,Low,0
741,20250322,7,Cybercrime,Medium,0
742,20221228,1,Robbery,Medium,0
743,20230322,1,Robbery,Low,1
744,20210312,1,Assault,Medium,1
745,20230702,1,Assault,Medium,1
746,20240615,1,Cybercrime,High,1
747,20231119,1,Robbery,High,1
748,20220402,6,Cybercrime,High,1
749,20230516,4,Cybercrime,Low,1
750,20230219,1,Robbery,High,1
751,20240416,5,Assault,High,0
752,20231115,3,Assault,Low,1
753,20210412,1,Robbery,Low,0
754,20230517,1,Robbery,Medium,0
755,20211026,1,Robbery,Low,1
756,20210620,4,Assault,High,1
757,20220612,1,Assault,Low,0
758,20240420,7,Robbery,High,1
